timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
134638.49543582,standard,0.0,5.0,1.0,16.0,21.0,170.0,1.0,5.0,87.0,9.0,11.02500057220459,1.0,1.0,5.0,5.0,518.0,526.0,12536.0,7396.0,1974.0,1268.0,605.0,357.0,74.0,91.0,82.0,112.0,23.0,54.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
134638.843466895,standard,1.0,5.0,1.0,48.0,83.0,97.0,1.0,5.0,96.0,-3.0375001430511475,4.050000190734863,1.0,1.0,5.0,5.0,502.0,518.0,16447.0,4812.0,2133.0,843.0,904.0,274.0,107.0,44.0,128.0,133.0,157.0,15.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1022.0,848.0
134639.148552602,standard,2.0,5.0,1.0,67.0,34.0,147.0,1.0,5.0,87.0,-5.962499618530273,-6.974999904632568,1.0,1.0,5.0,5.0,499.0,502.0,20457.0,6941.0,2512.0,1186.0,921.0,336.0,29.0,154.0,17.0,135.0,145.0,45.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,909.0
134639.609476616,standard,3.0,5.0,1.0,3.0,69.0,111.0,1.0,5.0,81.0,-13.049999237060547,19.012500762939453,1.0,1.0,5.0,5.0,488.0,537.0,10749.0,5683.0,1774.0,945.0,516.0,203.0,143.0,19.0,158.0,76.0,128.0,143.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,923.0
134640.039318647,standard,4.0,5.0,1.0,42.0,31.0,89.0,1.0,5.0,70.0,-4.050000190734863,-1.0125000476837158,1.0,1.0,5.0,5.0,500.0,510.0,9742.0,4539.0,1580.0,769.0,621.0,202.0,115.0,42.0,131.0,98.0,43.0,57.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,934.0
134640.518737932,standard,5.0,5.0,1.0,83.0,43.0,99.0,1.0,5.0,92.0,16.987499237060547,13.049999237060547,1.0,1.0,5.0,5.0,530.0,528.0,20413.0,5358.0,2726.0,770.0,910.0,235.0,5.0,15.0,134.0,105.0,30.0,82.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,935.0
134640.916063196,standard,6.0,5.0,1.0,33.0,84.0,144.0,1.0,5.0,95.0,22.05000114440918,-6.974999904632568,1.0,1.0,5.0,5.0,537.0,502.0,16777.0,7908.0,3128.0,1228.0,549.0,305.0,118.0,29.0,106.0,158.0,106.0,9.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
134641.460764857,standard,7.0,5.0,1.0,79.0,13.0,117.0,1.0,5.0,82.0,4.050000190734863,18.0,1.0,1.0,5.0,5.0,512.0,535.0,16718.0,6302.0,2536.0,942.0,813.0,269.0,35.0,53.0,116.0,71.0,1.0,150.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,934.0
134641.849892392,standard,8.0,5.0,1.0,18.0,8.0,143.0,1.0,5.0,81.0,22.94999885559082,13.049999237060547,1.0,1.0,5.0,5.0,539.0,530.0,9013.0,5699.0,1470.0,1042.0,469.0,293.0,49.0,54.0,66.0,117.0,32.0,94.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
134642.165214889,standard,9.0,5.0,1.0,10.0,26.0,162.0,1.0,5.0,83.0,14.96250057220459,5.962499618530273,1.0,1.0,5.0,5.0,528.0,521.0,11328.0,6917.0,1988.0,1206.0,502.0,308.0,85.0,122.0,135.0,52.0,24.0,145.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,955.0
