timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
135050.190622554,standard,0.0,6.0,1.0,31.0,32.0,171.0,1.0,5.0,86.0,22.05000114440918,1.0125000476837158,1.0,1.0,5.0,5.0,537.0,512.0,14866.0,7650.0,2364.0,1231.0,613.0,320.0,42.0,97.0,136.0,150.0,135.0,40.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,705.0
135050.55243698,standard,1.0,6.0,1.0,54.0,41.0,200.0,1.0,5.0,95.0,10.012499809265137,10.012499809265137,1.0,1.0,5.0,5.0,521.0,524.0,20887.0,10036.0,3147.0,1576.0,978.0,426.0,8.0,148.0,9.0,165.0,83.0,112.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,847.0
135051.116214547,standard,2.0,6.0,1.0,43.0,3.0,210.0,1.0,5.0,91.0,-12.037500381469727,-13.949999809265137,1.0,1.0,5.0,5.0,489.0,491.0,17253.0,9666.0,2704.0,1541.0,866.0,442.0,147.0,90.0,44.0,75.0,11.0,150.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,884.0
135051.462319737,standard,3.0,6.0,1.0,33.0,24.0,218.0,1.0,5.0,92.0,-6.974999904632568,0.0,1.0,1.0,5.0,5.0,495.0,510.0,17335.0,10331.0,2767.0,1585.0,823.0,471.0,39.0,94.0,150.0,0.0,21.0,43.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,923.0
135051.751165814,standard,4.0,6.0,1.0,1.0,4.0,203.0,1.0,5.0,87.0,-7.987499713897705,11.02500057220459,1.0,1.0,5.0,5.0,495.0,526.0,12514.0,8479.0,2115.0,1404.0,607.0,412.0,38.0,39.0,130.0,62.0,146.0,36.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
135052.283344464,standard,5.0,6.0,1.0,82.0,45.0,234.0,1.0,5.0,102.0,21.037500381469727,23.962501525878906,1.0,1.0,5.0,5.0,535.0,544.0,29603.0,12029.0,4374.0,1864.0,1381.0,535.0,32.0,31.0,85.0,63.0,64.0,55.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,936.0
135052.82448483,standard,6.0,6.0,1.0,8.0,48.0,231.0,1.0,5.0,100.0,9.0,-6.974999904632568,1.0,1.0,5.0,5.0,519.0,502.0,17666.0,10795.0,2725.0,1721.0,805.0,455.0,120.0,4.0,95.0,13.0,108.0,169.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,931.0
135053.168166265,standard,7.0,6.0,1.0,39.0,9.0,241.0,1.0,5.0,97.0,-4.050000190734863,-1.0125000476837158,1.0,1.0,5.0,5.0,501.0,507.0,18473.0,11006.0,3023.0,1711.0,919.0,509.0,133.0,146.0,123.0,30.0,32.0,159.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,946.0
135053.602315945,standard,8.0,6.0,1.0,20.0,61.0,200.0,1.0,5.0,91.0,20.024999618530273,4.949999809265137,1.0,1.0,5.0,5.0,534.0,517.0,18742.0,10589.0,2688.0,1484.0,769.0,439.0,52.0,57.0,110.0,67.0,128.0,154.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
135053.973144014,standard,9.0,6.0,1.0,29.0,21.0,194.0,1.0,5.0,91.0,7.987499713897705,-4.949999809265137,1.0,1.0,5.0,5.0,518.0,505.0,15445.0,8670.0,2264.0,1337.0,640.0,382.0,75.0,149.0,53.0,101.0,26.0,159.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,950.0
135054.239369326,standard,10.0,6.0,1.0,51.0,26.0,215.0,1.0,5.0,93.0,4.949999809265137,1.0125000476837158,1.0,1.0,5.0,5.0,514.0,511.0,20326.0,9970.0,3126.0,1587.0,978.0,461.0,10.0,149.0,145.0,143.0,70.0,126.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,962.0
135054.718601386,standard,11.0,6.0,1.0,64.0,10.0,187.0,1.0,5.0,94.0,21.037500381469727,20.024999618530273,1.0,1.0,5.0,5.0,536.0,538.0,19595.0,8530.0,2808.0,1324.0,1013.0,401.0,150.0,150.0,125.0,150.0,1.0,35.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,949.0
135054.927419274,standard,12.0,6.0,1.0,55.0,9.0,243.0,1.0,5.0,98.0,22.05000114440918,21.037500381469727,1.0,1.0,5.0,5.0,537.0,539.0,21422.0,11222.0,3343.0,1770.0,987.0,528.0,128.0,1.0,92.0,130.0,51.0,153.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,967.0
135055.453719112,standard,13.0,6.0,1.0,61.0,55.0,181.0,1.0,5.0,102.0,11.02500057220459,-9.0,1.0,1.0,5.0,5.0,521.0,498.0,22713.0,9131.0,3719.0,1422.0,874.0,396.0,48.0,11.0,67.0,105.0,5.0,166.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,946.0
135055.758888921,standard,14.0,6.0,1.0,49.0,82.0,238.0,1.0,5.0,103.0,-2.0250000953674316,-7.987499713897705,1.0,1.0,5.0,5.0,504.0,498.0,28290.0,12580.0,3979.0,1952.0,1249.0,571.0,21.0,83.0,102.0,22.0,23.0,39.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,957.0
135056.071964947,standard,15.0,6.0,1.0,3.0,82.0,245.0,1.0,5.0,104.0,-7.987499713897705,1.0125000476837158,1.0,1.0,5.0,5.0,495.0,511.0,20594.0,12410.0,3272.0,1886.0,1061.0,585.0,101.0,151.0,152.0,75.0,65.0,41.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,960.0
135056.598496515,standard,16.0,6.0,1.0,85.0,77.0,190.0,1.0,5.0,95.0,11.02500057220459,22.94999885559082,1.0,1.0,5.0,5.0,521.0,542.0,26481.0,10655.0,3736.0,1626.0,1274.0,482.0,104.0,45.0,168.0,127.0,78.0,59.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
135057.045060997,standard,17.0,6.0,1.0,44.0,78.0,255.0,1.0,5.0,105.0,-11.02500057220459,13.949999809265137,1.0,1.0,5.0,5.0,491.0,531.0,25909.0,13152.0,4055.0,2026.0,1036.0,533.0,33.0,112.0,15.0,29.0,87.0,153.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
135057.694194059,standard,18.0,6.0,1.0,32.0,28.0,254.0,1.0,5.0,98.0,16.987499237060547,-13.949999809265137,1.0,1.0,5.0,5.0,529.0,491.0,19867.0,11705.0,3086.0,1844.0,689.0,392.0,16.0,36.0,22.0,165.0,109.0,50.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,925.0
135058.169207655,standard,19.0,6.0,1.0,49.0,57.0,248.0,1.0,5.0,104.0,0.0,4.050000190734863,1.0,1.0,5.0,5.0,506.0,515.0,24165.0,12680.0,3827.0,1931.0,1152.0,559.0,38.0,87.0,56.0,67.0,57.0,77.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,932.0
135058.482581747,standard,20.0,6.0,1.0,12.0,36.0,192.0,1.0,5.0,87.0,-6.974999904632568,-4.050000190734863,1.0,1.0,5.0,5.0,496.0,506.0,14740.0,9204.0,2261.0,1379.0,684.0,397.0,86.0,75.0,151.0,27.0,33.0,164.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,950.0
135058.910461067,standard,21.0,6.0,1.0,1.0,76.0,243.0,1.0,5.0,96.0,-13.049999237060547,19.012500762939453,1.0,1.0,5.0,5.0,488.0,537.0,20905.0,12184.0,3310.0,1869.0,787.0,444.0,170.0,89.0,128.0,152.0,7.0,96.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,948.0
135059.246333703,standard,22.0,6.0,1.0,68.0,18.0,200.0,1.0,5.0,92.0,-12.037500381469727,2.0250000953674316,1.0,1.0,5.0,5.0,488.0,515.0,22503.0,8957.0,3159.0,1512.0,1024.0,421.0,69.0,139.0,95.0,97.0,27.0,121.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,955.0
135059.54341211,standard,23.0,6.0,1.0,24.0,16.0,179.0,1.0,5.0,91.0,-4.050000190734863,6.974999904632568,1.0,1.0,5.0,5.0,500.0,520.0,12548.0,7561.0,2045.0,1323.0,620.0,356.0,131.0,2.0,135.0,163.0,74.0,31.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,962.0
135060.0689615,standard,24.0,6.0,1.0,2.0,45.0,173.0,1.0,5.0,91.0,22.94999885559082,-6.974999904632568,1.0,1.0,5.0,5.0,538.0,502.0,14851.0,8444.0,2184.0,1241.0,479.0,279.0,74.0,163.0,108.0,151.0,101.0,65.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1022.0,944.0
135060.437698296,standard,25.0,6.0,1.0,46.0,30.0,251.0,1.0,5.0,100.0,2.0250000953674316,-5.962499618530273,1.0,1.0,5.0,5.0,509.0,502.0,21666.0,11847.0,3540.0,1834.0,977.0,539.0,8.0,66.0,51.0,66.0,127.0,19.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1022.0,950.0
135060.718894287,standard,26.0,6.0,1.0,24.0,31.0,221.0,1.0,5.0,95.0,-5.962499618530273,-3.0375001430511475,1.0,1.0,5.0,5.0,498.0,505.0,16987.0,10064.0,2719.0,1570.0,811.0,459.0,129.0,6.0,159.0,148.0,74.0,128.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,961.0
135061.245325769,standard,27.0,6.0,1.0,59.0,50.0,208.0,1.0,5.0,97.0,22.05000114440918,10.012499809265137,1.0,1.0,5.0,5.0,537.0,524.0,24344.0,10726.0,3656.0,1642.0,1111.0,441.0,164.0,160.0,159.0,0.0,17.0,12.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
135061.679290874,standard,28.0,6.0,1.0,24.0,31.0,228.0,1.0,5.0,93.0,10.012499809265137,-7.987499713897705,1.0,1.0,5.0,5.0,521.0,501.0,17318.0,10550.0,2790.0,1665.0,733.0,426.0,55.0,28.0,168.0,143.0,61.0,42.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
135062.189287114,standard,29.0,6.0,1.0,28.0,55.0,209.0,1.0,5.0,101.0,0.0,21.037500381469727,1.0,1.0,5.0,5.0,506.0,540.0,19241.0,10626.0,3061.0,1622.0,808.0,439.0,151.0,10.0,49.0,12.0,25.0,109.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,939.0
135062.594671488,standard,30.0,6.0,1.0,82.0,67.0,250.0,1.0,5.0,107.0,-4.949999809265137,0.0,1.0,1.0,5.0,5.0,500.0,511.0,28528.0,13210.0,4276.0,2051.0,1526.0,617.0,49.0,66.0,81.0,155.0,5.0,24.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
135062.877354889,standard,31.0,6.0,1.0,19.0,1.0,181.0,1.0,5.0,83.0,0.0,-5.962499618530273,1.0,1.0,5.0,5.0,504.0,503.0,12116.0,7896.0,1928.0,1208.0,565.0,369.0,142.0,116.0,120.0,142.0,115.0,57.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,959.0
135063.282880454,standard,32.0,6.0,1.0,51.0,15.0,183.0,1.0,5.0,82.0,-1.0125000476837158,19.012500762939453,1.0,1.0,5.0,5.0,505.0,537.0,18159.0,8498.0,2620.0,1369.0,787.0,341.0,45.0,117.0,155.0,40.0,103.0,34.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,954.0
135063.794902136,standard,33.0,6.0,1.0,70.0,46.0,179.0,1.0,5.0,93.0,21.037500381469727,2.0250000953674316,1.0,1.0,5.0,5.0,535.0,515.0,22137.0,9120.0,3181.0,1436.0,900.0,374.0,116.0,110.0,17.0,143.0,14.0,7.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,942.0
135064.026323771,standard,34.0,6.0,1.0,70.0,57.0,238.0,1.0,5.0,105.0,19.012500762939453,-1.0125000476837158,1.0,1.0,5.0,5.0,533.0,511.0,26564.0,12145.0,4025.0,1933.0,1003.0,500.0,37.0,37.0,24.0,100.0,154.0,163.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,962.0
135064.421545704,standard,35.0,6.0,1.0,20.0,53.0,218.0,1.0,5.0,97.0,-2.0250000953674316,-4.949999809265137,1.0,1.0,5.0,5.0,503.0,505.0,17726.0,10585.0,2809.0,1695.0,838.0,478.0,135.0,70.0,71.0,167.0,100.0,99.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,956.0
135064.835181768,standard,36.0,6.0,1.0,62.0,44.0,191.0,1.0,5.0,96.0,0.0,20.024999618530273,1.0,1.0,5.0,5.0,506.0,538.0,23899.0,10234.0,3373.0,1548.0,1011.0,416.0,34.0,81.0,101.0,36.0,39.0,59.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
135065.257003058,standard,37.0,6.0,1.0,36.0,24.0,225.0,1.0,5.0,95.0,7.987499713897705,0.0,1.0,1.0,5.0,5.0,517.0,512.0,18076.0,10581.0,2879.0,1610.0,858.0,455.0,72.0,155.0,93.0,6.0,107.0,104.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,950.0
135065.637935518,standard,38.0,6.0,1.0,76.0,51.0,216.0,1.0,5.0,106.0,-3.0375001430511475,12.037500381469727,1.0,1.0,5.0,5.0,501.0,527.0,25416.0,11331.0,4013.0,1747.0,1120.0,488.0,60.0,8.0,161.0,24.0,8.0,25.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,953.0
135066.092596454,standard,39.0,6.0,1.0,74.0,3.0,238.0,1.0,5.0,104.0,16.987499237060547,0.0,1.0,1.0,5.0,5.0,530.0,512.0,23749.0,11197.0,3639.0,1743.0,1078.0,461.0,150.0,70.0,32.0,64.0,87.0,133.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
135066.50631654,standard,40.0,6.0,1.0,71.0,45.0,192.0,1.0,5.0,100.0,13.949999809265137,23.962501525878906,1.0,1.0,5.0,5.0,527.0,543.0,24064.0,9480.0,3664.0,1672.0,1071.0,432.0,1.0,156.0,60.0,145.0,169.0,100.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,948.0
135067.01611485,standard,41.0,6.0,1.0,47.0,1.0,200.0,1.0,5.0,87.0,18.0,-11.02500057220459,1.0,1.0,5.0,5.0,531.0,496.0,16838.0,9259.0,2701.0,1479.0,628.0,300.0,2.0,116.0,78.0,62.0,71.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,940.0
135067.630710352,standard,42.0,6.0,1.0,65.0,41.0,255.0,1.0,5.0,101.0,-13.949999809265137,9.0,1.0,1.0,5.0,5.0,486.0,523.0,26584.0,12562.0,4011.0,1938.0,1013.0,519.0,140.0,96.0,15.0,44.0,124.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,927.0
