timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
145721.017308342,standard,0.0,32.0,1.0,30.0,35.0,73.0,1.0,5.0,74.0,13.049999237060547,10.012499809265137,1.0,1.0,5.0,5.0,525.0,524.0,4179.0,3492.0,1292.0,636.0,465.0,179.0,160.0,111.0,66.0,28.0,32.0,80.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1022.0,707.0
145721.469623053,standard,1.0,32.0,1.0,9.0,55.0,11.0,1.0,5.0,71.0,22.94999885559082,-12.037500381469727,1.0,1.0,5.0,5.0,539.0,495.0,2831.0,1421.0,581.0,181.0,184.0,51.0,168.0,162.0,0.0,78.0,14.0,64.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,842.0
145722.110756519,standard,2.0,32.0,1.0,34.0,23.0,83.0,1.0,5.0,77.0,-9.0,11.02500057220459,1.0,1.0,5.0,5.0,495.0,526.0,5159.0,4459.0,1210.0,573.0,373.0,172.0,144.0,91.0,97.0,73.0,59.0,57.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,878.0
145722.434440558,standard,3.0,32.0,1.0,59.0,15.0,54.0,1.0,5.0,69.0,-12.037500381469727,-2.0250000953674316,1.0,1.0,5.0,5.0,491.0,509.0,5737.0,3003.0,1525.0,424.0,525.0,139.0,18.0,56.0,3.0,143.0,157.0,80.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,923.0
145722.856184568,standard,4.0,32.0,1.0,7.0,23.0,49.0,1.0,5.0,69.0,3.0375001430511475,11.02500057220459,1.0,1.0,5.0,5.0,511.0,526.0,2125.0,2188.0,590.0,323.0,191.0,101.0,0.0,17.0,59.0,95.0,17.0,125.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,937.0
145723.212460993,standard,5.0,32.0,1.0,51.0,12.0,28.0,1.0,5.0,65.0,3.0375001430511475,-9.0,1.0,1.0,5.0,5.0,511.0,499.0,4025.0,1336.0,1376.0,264.0,327.0,57.0,68.0,13.0,8.0,157.0,35.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,948.0
145723.754999106,standard,6.0,32.0,1.0,81.0,25.0,15.0,1.0,5.0,70.0,18.0,19.012500762939453,1.0,1.0,5.0,5.0,533.0,536.0,6628.0,1936.0,1943.0,278.0,504.0,69.0,115.0,50.0,93.0,73.0,158.0,163.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,938.0
145724.199592224,standard,7.0,32.0,1.0,3.0,17.0,15.0,1.0,5.0,62.0,-4.949999809265137,11.02500057220459,1.0,1.0,5.0,5.0,501.0,527.0,499.0,341.0,173.0,58.0,55.0,16.0,61.0,19.0,164.0,114.0,58.0,72.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,942.0
145724.596820914,standard,8.0,32.0,1.0,66.0,64.0,58.0,1.0,5.0,73.0,-6.974999904632568,-12.037500381469727,1.0,1.0,5.0,5.0,498.0,495.0,8346.0,4408.0,2130.0,662.0,633.0,137.0,154.0,95.0,148.0,84.0,25.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,949.0
145724.920426842,standard,9.0,32.0,1.0,3.0,63.0,82.0,1.0,5.0,76.0,0.0,-3.0375001430511475,1.0,1.0,5.0,5.0,507.0,506.0,5721.0,5096.0,1488.0,782.0,369.0,208.0,39.0,130.0,84.0,5.0,88.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,957.0
145725.293253026,standard,10.0,32.0,1.0,64.0,76.0,35.0,1.0,5.0,80.0,-4.949999809265137,13.949999809265137,1.0,1.0,5.0,5.0,501.0,530.0,7582.0,3607.0,2283.0,473.0,497.0,123.0,1.0,23.0,93.0,50.0,112.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,957.0
145725.712844385,standard,11.0,32.0,1.0,23.0,85.0,73.0,1.0,5.0,93.0,-7.987499713897705,-11.02500057220459,1.0,1.0,5.0,5.0,496.0,496.0,6514.0,4474.0,2051.0,773.0,609.0,260.0,19.0,160.0,141.0,45.0,119.0,162.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,953.0
145726.263816862,standard,12.0,32.0,1.0,5.0,9.0,11.0,1.0,5.0,62.0,15.97499942779541,9.0,1.0,1.0,5.0,5.0,530.0,522.0,384.0,288.0,85.0,26.0,30.0,6.0,62.0,157.0,64.0,77.0,3.0,119.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,940.0
145726.611285883,standard,13.0,32.0,1.0,40.0,83.0,75.0,1.0,5.0,93.0,4.949999809265137,1.0125000476837158,1.0,1.0,5.0,5.0,515.0,513.0,8426.0,5761.0,2278.0,681.0,607.0,195.0,104.0,112.0,68.0,92.0,168.0,30.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
145726.898743797,standard,14.0,32.0,1.0,74.0,51.0,12.0,1.0,5.0,79.0,5.962499618530273,12.037500381469727,1.0,1.0,5.0,5.0,514.0,527.0,6605.0,2223.0,2011.0,300.0,571.0,90.0,129.0,61.0,127.0,146.0,35.0,143.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,962.0
145727.163127898,standard,15.0,32.0,1.0,62.0,0.0,49.0,1.0,5.0,63.0,1.0125000476837158,15.97499942779541,1.0,1.0,5.0,5.0,509.0,533.0,4618.0,2434.0,1468.0,355.0,419.0,101.0,132.0,170.0,124.0,81.0,143.0,125.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,968.0
145727.48461465,standard,16.0,32.0,1.0,17.0,10.0,30.0,1.0,5.0,66.0,0.0,1.0125000476837158,1.0,1.0,5.0,5.0,508.0,513.0,1069.0,845.0,346.0,144.0,95.0,40.0,53.0,102.0,159.0,165.0,35.0,113.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,965.0
145727.796050238,standard,17.0,32.0,1.0,23.0,10.0,54.0,1.0,5.0,72.0,-3.0375001430511475,-11.02500057220459,1.0,1.0,5.0,5.0,503.0,496.0,2814.0,2661.0,698.0,296.0,184.0,95.0,83.0,67.0,129.0,32.0,15.0,166.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,966.0
145728.168474077,standard,18.0,32.0,1.0,4.0,42.0,8.0,1.0,5.0,64.0,-6.974999904632568,6.974999904632568,1.0,1.0,5.0,5.0,498.0,520.0,1796.0,1004.0,476.0,128.0,183.0,42.0,155.0,151.0,58.0,74.0,70.0,149.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,961.0
145728.688674421,standard,19.0,32.0,1.0,78.0,25.0,47.0,1.0,5.0,78.0,23.962501525878906,15.97499942779541,1.0,1.0,5.0,5.0,541.0,533.0,7774.0,3252.0,1724.0,382.0,628.0,138.0,17.0,51.0,164.0,58.0,151.0,12.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
145729.067618019,standard,20.0,32.0,1.0,61.0,82.0,38.0,1.0,5.0,75.0,6.974999904632568,22.05000114440918,1.0,1.0,5.0,5.0,517.0,541.0,8473.0,4300.0,1945.0,458.0,744.0,163.0,53.0,123.0,102.0,128.0,43.0,77.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
145729.593897758,standard,21.0,32.0,1.0,17.0,29.0,62.0,1.0,5.0,71.0,20.024999618530273,-5.962499618530273,1.0,1.0,5.0,5.0,536.0,504.0,3064.0,2729.0,774.0,414.0,260.0,112.0,138.0,69.0,24.0,14.0,95.0,92.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,942.0
145729.901026786,standard,22.0,32.0,1.0,67.0,85.0,81.0,1.0,5.0,96.0,9.0,-9.0,1.0,1.0,5.0,5.0,521.0,499.0,10245.0,5569.0,3144.0,808.0,1127.0,311.0,138.0,24.0,43.0,59.0,19.0,116.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,956.0
145730.241020265,standard,23.0,32.0,1.0,18.0,29.0,18.0,1.0,5.0,65.0,18.0,0.0,1.0,1.0,5.0,5.0,532.0,510.0,1236.0,827.0,455.0,130.0,113.0,27.0,108.0,162.0,135.0,115.0,62.0,72.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,960.0
