timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
148991.667280381,standard,0.0,40.0,1.0,53.0,19.0,84.0,1.0,5.0,76.0,7.987499713897705,-14.96250057220459,1.0,1.0,5.0,5.0,518.0,490.0,12435.0,4348.0,1564.0,595.0,469.0,63.0,33.0,28.0,17.0,101.0,118.0,155.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
148992.142483478,standard,1.0,40.0,1.0,66.0,10.0,53.0,1.0,5.0,75.0,-5.962499618530273,5.962499618530273,1.0,1.0,5.0,5.0,499.0,518.0,11666.0,2830.0,1741.0,424.0,473.0,46.0,1.0,147.0,64.0,158.0,160.0,102.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,841.0
148992.406629422,standard,2.0,40.0,1.0,48.0,5.0,14.0,1.0,5.0,71.0,-4.050000190734863,13.049999237060547,1.0,1.0,5.0,5.0,502.0,528.0,6763.0,874.0,765.0,102.0,255.0,10.0,163.0,147.0,151.0,19.0,81.0,97.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,911.0
148992.828507708,standard,3.0,40.0,1.0,15.0,58.0,24.0,1.0,5.0,72.0,0.0,-11.02500057220459,1.0,1.0,5.0,5.0,508.0,496.0,5811.0,1828.0,865.0,229.0,308.0,29.0,142.0,71.0,123.0,66.0,120.0,141.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,930.0
148993.062003805,standard,4.0,40.0,1.0,3.0,35.0,48.0,1.0,5.0,67.0,-4.050000190734863,-12.037500381469727,1.0,1.0,5.0,5.0,502.0,495.0,5055.0,2227.0,656.0,340.0,210.0,39.0,145.0,148.0,111.0,47.0,149.0,161.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,956.0
148993.301558283,standard,5.0,40.0,1.0,50.0,73.0,57.0,1.0,5.0,64.0,-5.962499618530273,-7.987499713897705,1.0,1.0,5.0,5.0,500.0,498.0,14697.0,4549.0,2238.0,646.0,649.0,71.0,106.0,77.0,155.0,97.0,37.0,112.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,967.0
148993.868800317,standard,6.0,40.0,1.0,30.0,29.0,60.0,1.0,5.0,74.0,21.037500381469727,11.02500057220459,1.0,1.0,5.0,5.0,537.0,525.0,8606.0,3712.0,905.0,413.0,382.0,51.0,109.0,102.0,152.0,32.0,64.0,55.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
148994.307037175,standard,7.0,40.0,1.0,56.0,18.0,24.0,1.0,5.0,71.0,4.949999809265137,-3.0375001430511475,1.0,1.0,5.0,5.0,515.0,507.0,8015.0,1444.0,1393.0,238.0,364.0,22.0,40.0,19.0,86.0,151.0,65.0,143.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
148994.604045133,standard,8.0,40.0,1.0,59.0,40.0,2.0,1.0,5.0,71.0,-6.974999904632568,-4.050000190734863,1.0,1.0,5.0,5.0,499.0,506.0,10393.0,1574.0,1409.0,201.0,429.0,27.0,98.0,65.0,12.0,32.0,32.0,5.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,958.0
148994.849840493,standard,9.0,40.0,1.0,32.0,36.0,2.0,1.0,5.0,67.0,-10.012499809265137,-7.987499713897705,1.0,1.0,5.0,5.0,494.0,501.0,5661.0,1008.0,650.0,113.0,220.0,14.0,111.0,167.0,39.0,146.0,101.0,30.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,966.0
