timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
133814.765015106,standard,0.0,3.0,1.0,11.0,125.0,59.0,1.0,5.0,84.0,-10.012499809265137,6.974999904632568,1.0,1.0,5.0,5.0,492.0,520.0,14355.0,4549.0,1869.0,688.0,604.0,226.0,51.0,72.0,109.0,117.0,93.0,133.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
133815.178655208,standard,1.0,3.0,1.0,79.0,153.0,77.0,1.0,5.0,96.0,-4.050000190734863,-13.949999809265137,1.0,1.0,5.0,5.0,500.0,492.0,29055.0,7874.0,3788.0,1111.0,1088.0,313.0,161.0,73.0,53.0,30.0,9.0,66.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,844.0
133815.575895243,standard,2.0,3.0,1.0,78.0,124.0,79.0,1.0,5.0,89.0,7.987499713897705,-1.0125000476837158,1.0,1.0,5.0,5.0,516.0,509.0,23732.0,7252.0,3447.0,1084.0,1355.0,349.0,66.0,85.0,115.0,64.0,69.0,81.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,899.0
133815.858442318,standard,3.0,3.0,1.0,34.0,143.0,15.0,1.0,5.0,82.0,15.97499942779541,-4.050000190734863,1.0,1.0,5.0,5.0,527.0,505.0,15918.0,3894.0,2408.0,579.0,585.0,165.0,60.0,140.0,127.0,160.0,64.0,130.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,937.0
133816.255775756,standard,4.0,3.0,1.0,15.0,101.0,67.0,1.0,5.0,81.0,-7.987499713897705,-4.949999809265137,1.0,1.0,5.0,5.0,494.0,505.0,13936.0,4908.0,1945.0,683.0,599.0,222.0,136.0,129.0,157.0,165.0,30.0,87.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,943.0
133816.636752365,standard,5.0,3.0,1.0,39.0,147.0,67.0,1.0,5.0,89.0,10.012499809265137,0.0,1.0,1.0,5.0,5.0,520.0,511.0,20162.0,6794.0,3125.0,894.0,979.0,293.0,27.0,62.0,83.0,32.0,160.0,139.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,948.0
133816.984870229,standard,6.0,3.0,1.0,47.0,139.0,36.0,1.0,5.0,94.0,19.012500762939453,-10.012499809265137,1.0,1.0,5.0,5.0,532.0,497.0,19172.0,5077.0,2492.0,748.0,585.0,141.0,165.0,84.0,100.0,118.0,1.0,29.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,953.0
133817.210113131,standard,7.0,3.0,1.0,32.0,122.0,71.0,1.0,5.0,83.0,22.05000114440918,-9.0,1.0,1.0,5.0,5.0,536.0,497.0,15239.0,5039.0,2384.0,865.0,560.0,192.0,24.0,37.0,114.0,89.0,83.0,108.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,966.0
133817.771187334,standard,8.0,3.0,1.0,8.0,147.0,48.0,1.0,5.0,81.0,10.012499809265137,23.962501525878906,1.0,1.0,5.0,5.0,520.0,543.0,14767.0,5023.0,2111.0,703.0,705.0,232.0,135.0,72.0,159.0,161.0,142.0,19.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
133818.250459159,standard,9.0,3.0,1.0,42.0,92.0,59.0,1.0,5.0,88.0,7.987499713897705,-9.0,1.0,1.0,5.0,5.0,517.0,499.0,16248.0,4881.0,2340.0,680.0,695.0,186.0,69.0,103.0,84.0,35.0,42.0,138.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,941.0
