timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
144496.28141497,standard,0.0,29.0,1.0,32.0,83.0,8.0,1.0,5.0,71.0,19.012500762939453,13.949999809265137,1.0,1.0,5.0,5.0,533.0,529.0,9202.0,2152.0,1391.0,325.0,445.0,95.0,92.0,87.0,112.0,248.0,40.0,162.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
144496.776901477,standard,1.0,29.0,1.0,21.0,25.0,17.0,1.0,5.0,65.0,-12.037500381469727,20.024999618530273,1.0,1.0,5.0,5.0,491.0,538.0,2806.0,749.0,404.0,99.0,87.0,19.0,145.0,159.0,100.0,211.0,112.0,104.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,839.0
144497.182366966,standard,2.0,29.0,1.0,41.0,12.0,76.0,1.0,5.0,83.0,13.049999237060547,19.012500762939453,1.0,1.0,5.0,5.0,525.0,537.0,9580.0,3567.0,1506.0,616.0,393.0,177.0,44.0,147.0,169.0,250.0,140.0,140.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,897.0
144497.620634593,standard,3.0,29.0,1.0,9.0,9.0,32.0,1.0,5.0,65.0,4.949999809265137,-3.0375001430511475,1.0,1.0,5.0,5.0,515.0,507.0,1952.0,1008.0,332.0,146.0,68.0,39.0,143.0,132.0,13.0,248.0,79.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,921.0
144497.927813194,standard,4.0,29.0,1.0,65.0,44.0,31.0,1.0,5.0,80.0,12.037500381469727,-10.012499809265137,1.0,1.0,5.0,5.0,523.0,497.0,11859.0,2323.0,1955.0,418.0,426.0,84.0,115.0,142.0,58.0,182.0,75.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
144498.398731466,standard,5.0,29.0,1.0,80.0,37.0,29.0,1.0,5.0,75.0,0.0,12.037500381469727,1.0,1.0,5.0,5.0,507.0,527.0,14304.0,2572.0,2483.0,464.0,573.0,97.0,4.0,157.0,116.0,219.0,45.0,63.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1022.0,943.0
144498.746917088,standard,6.0,29.0,1.0,78.0,26.0,16.0,1.0,5.0,77.0,-12.037500381469727,19.012500762939453,1.0,1.0,5.0,5.0,490.0,537.0,12532.0,1675.0,1487.0,230.0,519.0,73.0,20.0,99.0,125.0,209.0,84.0,43.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
144499.275219299,standard,7.0,29.0,1.0,56.0,78.0,1.0,1.0,5.0,80.0,-2.0250000953674316,-12.037500381469727,1.0,1.0,5.0,5.0,502.0,494.0,15399.0,2854.0,2038.0,382.0,660.0,129.0,7.0,141.0,6.0,178.0,144.0,115.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,941.0
144499.795475218,standard,8.0,29.0,1.0,80.0,75.0,12.0,1.0,5.0,82.0,4.949999809265137,21.037500381469727,1.0,1.0,5.0,5.0,512.0,539.0,16637.0,2896.0,2901.0,504.0,766.0,135.0,33.0,131.0,106.0,222.0,3.0,148.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,937.0
144500.053539367,standard,9.0,29.0,1.0,29.0,80.0,53.0,1.0,5.0,68.0,0.0,23.962501525878906,1.0,1.0,5.0,5.0,508.0,543.0,11845.0,4021.0,1493.0,538.0,523.0,155.0,24.0,124.0,39.0,236.0,44.0,117.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,958.0
