timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
139976.671471186,standard,0.0,18.0,1.0,26.0,68.0,9.0,1.0,5.0,67.0,22.94999885559082,16.987499237060547,8.0,1.0,5.0,5.0,539.75,536.0,9191.0,2401.0,1147.0,237.0,291.0,79.0,132.0,121.0,41.0,132.0,26.0,49.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,708.0
139977.048317221,standard,1.0,18.0,1.0,84.0,68.0,22.0,1.0,5.0,77.0,16.987499237060547,0.0,8.0,1.0,5.0,5.0,532.125,514.0,14687.0,2710.0,2878.0,521.0,762.0,137.0,24.0,129.0,100.0,121.0,124.0,119.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,848.0
139977.580825497,standard,2.0,18.0,1.0,55.0,27.0,28.0,1.0,5.0,74.0,-5.962499618530273,19.012500762939453,8.0,1.0,5.0,5.0,499.75,539.0,8546.0,1596.0,1484.0,283.0,297.0,58.0,154.0,88.0,76.0,91.0,45.0,44.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,889.0
139977.96567227,standard,3.0,18.0,1.0,53.0,33.0,23.0,1.0,5.0,73.0,2.0250000953674316,3.0375001430511475,8.0,1.0,5.0,5.0,509.875,519.0,8661.0,1249.0,1352.0,253.0,420.0,73.0,129.0,88.0,24.0,108.0,86.0,73.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,923.0
139978.358898737,standard,4.0,18.0,1.0,83.0,41.0,46.0,1.0,5.0,78.0,11.02500057220459,-13.049999237060547,8.0,1.0,5.0,5.0,522.75,495.0,18879.0,3964.0,2107.0,476.0,687.0,145.0,131.0,116.0,73.0,83.0,157.0,46.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,939.0
139978.92428967,standard,5.0,18.0,1.0,60.0,64.0,22.0,1.0,5.0,72.0,-10.012499809265137,12.037500381469727,8.0,1.0,5.0,5.0,493.75,529.0,14986.0,2801.0,2022.0,386.0,602.0,112.0,170.0,133.0,88.0,80.0,51.0,74.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,931.0
139979.579517133,standard,6.0,18.0,1.0,69.0,56.0,13.0,1.0,5.0,68.0,22.94999885559082,-12.037500381469727,8.0,1.0,5.0,5.0,539.75,497.0,14130.0,2408.0,1828.0,335.0,456.0,88.0,65.0,132.0,99.0,71.0,43.0,23.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,920.0
139980.078820953,standard,7.0,18.0,1.0,78.0,12.0,57.0,1.0,5.0,85.0,21.037500381469727,23.962501525878906,8.0,1.0,5.0,5.0,537.5,546.0,15452.0,3473.0,2012.0,467.0,561.0,128.0,107.0,169.0,6.0,72.0,71.0,76.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,929.0
139980.490869742,standard,8.0,18.0,1.0,82.0,76.0,21.0,1.0,5.0,75.0,18.0,0.0,8.0,1.0,5.0,5.0,534.625,514.0,16217.0,2925.0,2699.0,483.0,741.0,121.0,110.0,157.0,111.0,119.0,158.0,25.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,942.0
139980.795931558,standard,9.0,18.0,1.0,49.0,42.0,30.0,1.0,5.0,73.0,23.962501525878906,-7.987499713897705,8.0,1.0,5.0,5.0,541.0,503.0,10574.0,2378.0,1563.0,370.0,350.0,64.0,136.0,161.0,147.0,15.0,43.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,955.0
139981.11538047,standard,10.0,18.0,1.0,83.0,28.0,79.0,1.0,5.0,83.0,13.049999237060547,-13.049999237060547,8.0,1.0,5.0,5.0,526.75,495.0,14102.0,4302.0,3044.0,780.0,601.0,146.0,139.0,28.0,38.0,167.0,131.0,151.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,960.0
139981.647886966,standard,11.0,18.0,1.0,32.0,11.0,85.0,1.0,5.0,79.0,18.0,23.962501525878906,8.0,1.0,5.0,5.0,532.875,546.0,8904.0,3629.0,1232.0,556.0,449.0,201.0,65.0,66.0,42.0,149.0,79.0,97.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
139982.311426395,standard,12.0,18.0,1.0,65.0,76.0,28.0,1.0,5.0,80.0,-2.0250000953674316,-13.949999809265137,8.0,1.0,5.0,5.0,505.375,494.0,17626.0,3899.0,1692.0,395.0,678.0,136.0,115.0,131.0,26.0,39.0,84.0,118.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,926.0
139982.851980339,standard,13.0,18.0,1.0,84.0,38.0,50.0,1.0,5.0,82.0,-13.949999809265137,16.987499237060547,8.0,1.0,5.0,5.0,488.5,536.0,17769.0,4010.0,2466.0,569.0,657.0,134.0,134.0,158.0,96.0,134.0,117.0,137.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,928.0
139983.229032009,standard,14.0,18.0,1.0,58.0,54.0,72.0,1.0,5.0,82.0,4.050000190734863,12.037500381469727,8.0,1.0,5.0,5.0,512.75,531.0,17382.0,4736.0,2264.0,686.0,729.0,223.0,161.0,75.0,141.0,142.0,97.0,109.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
139983.597564034,standard,15.0,18.0,1.0,48.0,32.0,34.0,1.0,5.0,69.0,20.024999618530273,5.962499618530273,8.0,1.0,5.0,5.0,536.0,522.0,9693.0,2507.0,1189.0,279.0,376.0,76.0,136.0,124.0,98.0,99.0,28.0,39.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,950.0
139984.049435508,standard,16.0,18.0,1.0,29.0,50.0,74.0,1.0,5.0,78.0,2.0250000953674316,-7.987499713897705,8.0,1.0,5.0,5.0,511.0,503.0,9073.0,3550.0,1421.0,563.0,502.0,208.0,148.0,102.0,8.0,11.0,102.0,105.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
139984.359230211,standard,17.0,18.0,1.0,23.0,13.0,61.0,1.0,5.0,68.0,11.02500057220459,-13.949999809265137,8.0,1.0,5.0,5.0,522.875,494.0,4669.0,2635.0,811.0,453.0,231.0,114.0,62.0,161.0,93.0,70.0,50.0,51.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,958.0
139984.850802167,standard,18.0,18.0,1.0,50.0,14.0,82.0,1.0,5.0,74.0,-13.949999809265137,-2.0250000953674316,8.0,1.0,5.0,5.0,488.25,509.0,10917.0,4060.0,2032.0,714.0,420.0,132.0,58.0,24.0,111.0,73.0,34.0,90.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
139985.311660293,standard,19.0,18.0,1.0,8.0,24.0,23.0,1.0,5.0,62.0,7.987499713897705,-13.049999237060547,8.0,1.0,5.0,5.0,517.875,496.0,1772.0,653.0,308.0,119.0,80.0,36.0,4.0,31.0,22.0,95.0,16.0,48.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
139985.667964871,standard,20.0,18.0,1.0,59.0,34.0,26.0,1.0,5.0,70.0,1.0125000476837158,0.0,8.0,1.0,5.0,5.0,509.875,513.0,11037.0,2132.0,1414.0,277.0,413.0,72.0,72.0,86.0,81.0,6.0,141.0,141.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
139986.095969674,standard,21.0,18.0,1.0,26.0,34.0,21.0,1.0,5.0,67.0,16.987499237060547,13.049999237060547,8.0,1.0,5.0,5.0,530.75,530.0,4333.0,1248.0,637.0,150.0,175.0,41.0,14.0,58.0,104.0,57.0,112.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,951.0
139986.358028705,standard,22.0,18.0,1.0,25.0,70.0,60.0,1.0,5.0,93.0,18.0,21.037500381469727,8.0,1.0,5.0,5.0,533.0,542.0,9226.0,3102.0,1649.0,515.0,402.0,155.0,34.0,71.0,130.0,110.0,147.0,140.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,963.0
139986.86588423,standard,23.0,18.0,1.0,35.0,37.0,85.0,1.0,5.0,78.0,5.962499618530273,-5.962499618530273,8.0,1.0,5.0,5.0,516.5,505.0,10398.0,3866.0,1896.0,838.0,419.0,173.0,161.0,150.0,168.0,12.0,121.0,62.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,948.0
139987.152675715,standard,24.0,18.0,1.0,15.0,26.0,34.0,1.0,5.0,69.0,-3.0375001430511475,-3.0375001430511475,8.0,1.0,5.0,5.0,503.75,508.0,3343.0,1379.0,406.0,171.0,156.0,62.0,51.0,144.0,58.0,154.0,9.0,61.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,960.0
139987.709715494,standard,25.0,18.0,1.0,71.0,84.0,42.0,1.0,5.0,81.0,15.97499942779541,22.94999885559082,8.0,1.0,5.0,5.0,530.0,544.0,15770.0,3594.0,2841.0,678.0,904.0,232.0,103.0,47.0,60.0,41.0,161.0,133.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,943.0
139988.184878225,standard,26.0,18.0,1.0,19.0,41.0,8.0,1.0,5.0,68.0,-4.050000190734863,7.987499713897705,8.0,1.0,5.0,5.0,502.0,524.0,4623.0,1152.0,620.0,156.0,165.0,38.0,31.0,146.0,87.0,72.0,62.0,153.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,942.0
139988.455096459,standard,27.0,18.0,1.0,78.0,57.0,47.0,1.0,5.0,89.0,-4.050000190734863,18.0,8.0,1.0,5.0,5.0,502.0,538.0,14640.0,2974.0,2247.0,544.0,683.0,170.0,81.0,20.0,9.0,137.0,5.0,62.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,959.0
139988.872834937,standard,28.0,18.0,1.0,42.0,68.0,10.0,1.0,5.0,72.0,11.02500057220459,4.949999809265137,8.0,1.0,5.0,5.0,522.75,521.0,10565.0,2307.0,1480.0,288.0,443.0,88.0,4.0,76.0,93.0,150.0,72.0,104.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,954.0
139989.143183185,standard,29.0,18.0,1.0,16.0,5.0,18.0,1.0,5.0,64.0,9.0,13.049999237060547,8.0,1.0,5.0,5.0,520.5,531.0,1680.0,482.0,203.0,60.0,73.0,24.0,102.0,82.0,43.0,61.0,23.0,72.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,964.0
139989.446237415,standard,30.0,18.0,1.0,64.0,83.0,73.0,1.0,5.0,93.0,3.0375001430511475,21.037500381469727,8.0,1.0,5.0,5.0,512.5,543.0,18216.0,5643.0,2935.0,801.0,773.0,211.0,30.0,135.0,29.0,151.0,103.0,39.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,966.0
