timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
139155.065792203,standard,0.0,16.0,1.0,52.0,58.0,12.0,1.0,5.0,73.0,-13.949999809265137,13.049999237060547,2.0,1.0,5.0,5.0,487.5,528.0,9993.0,2066.0,1868.0,349.0,553.0,97.0,7.0,123.0,124.0,153.0,154.0,86.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
139155.454696486,standard,1.0,16.0,1.0,32.0,72.0,50.0,1.0,5.0,81.0,7.987499713897705,11.02500057220459,2.0,1.0,5.0,5.0,518.0,525.0,11052.0,3884.0,1719.0,562.0,487.0,164.0,170.0,2.0,115.0,135.0,37.0,84.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,847.0
139155.721057808,standard,2.0,16.0,1.0,15.0,85.0,54.0,1.0,5.0,83.0,1.0125000476837158,13.049999237060547,2.0,1.0,5.0,5.0,509.0,528.0,9276.0,3419.0,1503.0,653.0,462.0,165.0,50.0,170.0,62.0,3.0,52.0,65.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,913.0
139156.085531133,standard,3.0,16.0,1.0,58.0,61.0,18.0,1.0,5.0,71.0,-5.962499618530273,-1.0125000476837158,2.0,1.0,5.0,5.0,499.0,510.0,12860.0,2354.0,2154.0,392.0,637.0,117.0,132.0,144.0,144.0,88.0,159.0,11.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,935.0
139156.480693061,standard,4.0,16.0,1.0,49.0,72.0,50.0,1.0,5.0,83.0,-4.050000190734863,22.05000114440918,2.0,1.0,5.0,5.0,501.5,541.0,15213.0,4524.0,1824.0,555.0,529.0,129.0,29.0,63.0,6.0,144.0,139.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,944.0
139157.064420667,standard,5.0,16.0,1.0,71.0,29.0,67.0,1.0,5.0,81.0,18.0,-4.050000190734863,2.0,1.0,5.0,5.0,532.5,506.0,12901.0,3436.0,2389.0,624.0,584.0,132.0,7.0,138.0,105.0,68.0,52.0,107.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,932.0
139157.527174386,standard,6.0,16.0,1.0,63.0,18.0,71.0,1.0,5.0,79.0,-11.02500057220459,0.0,2.0,1.0,5.0,5.0,492.5,510.0,9599.0,3021.0,2124.0,623.0,634.0,171.0,101.0,154.0,90.0,89.0,129.0,157.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1022.0,937.0
139157.94098273,standard,7.0,16.0,1.0,84.0,24.0,7.0,1.0,5.0,72.0,-4.050000190734863,20.024999618530273,2.0,1.0,5.0,5.0,501.0,538.0,13380.0,1483.0,2138.0,259.0,448.0,54.0,166.0,96.0,37.0,108.0,160.0,45.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
139158.23172537,standard,8.0,16.0,1.0,0.0,29.0,11.0,1.0,5.0,68.0,-3.0375001430511475,9.0,2.0,1.0,5.0,5.0,502.0,524.0,1970.0,693.0,311.0,90.0,91.0,23.0,12.0,43.0,120.0,12.0,130.0,33.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,958.0
139158.702737919,standard,9.0,16.0,1.0,0.0,20.0,78.0,1.0,5.0,69.0,20.024999618530273,20.024999618530273,2.0,1.0,5.0,5.0,535.5,538.0,5519.0,3420.0,739.0,483.0,258.0,163.0,107.0,99.0,53.0,26.0,155.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,949.0
139159.149273922,standard,10.0,16.0,1.0,80.0,58.0,11.0,1.0,5.0,78.0,-4.050000190734863,13.049999237060547,2.0,1.0,5.0,5.0,502.0,530.0,13869.0,2246.0,2691.0,438.0,645.0,110.0,54.0,51.0,122.0,76.0,8.0,80.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
