timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
136272.880158481,standard,0.0,9.0,1.0,8.0,24.0,19.0,8.0,5.0,65.875,-4.949999809265137,22.94999885559082,1.0,1.0,5.0,5.0,501.0,542.0,1942.0,562.0,251.0,88.0,69.0,19.0,157.0,134.0,60.0,133.0,41.0,115.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
136273.371737485,standard,1.0,9.0,1.0,60.0,81.0,12.0,8.0,5.0,76.625,3.0375001430511475,-5.962499618530273,1.0,1.0,5.0,5.0,510.0,503.0,16710.0,3042.0,1673.0,357.0,679.0,106.0,86.0,36.0,39.0,162.0,128.0,39.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,838.0
136273.740245924,standard,2.0,9.0,1.0,28.0,85.0,28.0,8.0,5.0,76.375,-4.949999809265137,7.987499713897705,1.0,1.0,5.0,5.0,499.0,521.0,11015.0,3044.0,1461.0,408.0,458.0,130.0,137.0,139.0,0.0,89.0,6.0,160.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,899.0
136274.035133469,standard,3.0,9.0,1.0,83.0,45.0,75.0,8.0,5.0,82.875,4.050000190734863,12.037500381469727,1.0,1.0,5.0,5.0,512.0,527.0,18083.0,5197.0,3025.0,813.0,835.0,226.0,123.0,49.0,121.0,76.0,130.0,71.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,936.0
136274.477484395,standard,4.0,9.0,1.0,39.0,55.0,54.0,8.0,5.0,77.5,-6.974999904632568,-7.987499713897705,1.0,1.0,5.0,5.0,497.0,500.0,9163.0,3365.0,1475.0,483.0,566.0,164.0,48.0,40.0,66.0,20.0,20.0,75.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,938.0
136274.846172447,standard,5.0,9.0,1.0,37.0,39.0,4.0,8.0,5.0,70.0,-9.0,12.037500381469727,1.0,1.0,5.0,5.0,495.0,527.0,6661.0,1191.0,868.0,151.0,308.0,54.0,13.0,90.0,38.0,16.0,37.0,165.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
136275.100077549,standard,6.0,9.0,1.0,23.0,56.0,39.0,8.0,5.0,73.25,-9.0,4.050000190734863,1.0,1.0,5.0,5.0,494.0,518.0,7005.0,2475.0,1092.0,350.0,342.0,124.0,115.0,117.0,42.0,139.0,51.0,151.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,961.0
136275.493282558,standard,7.0,9.0,1.0,31.0,19.0,32.0,8.0,5.0,68.0,0.0,-12.037500381469727,1.0,1.0,5.0,5.0,506.0,494.0,5106.0,1567.0,643.0,192.0,176.0,60.0,136.0,167.0,116.0,104.0,3.0,95.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,956.0
136276.050349816,standard,8.0,9.0,1.0,16.0,72.0,27.0,8.0,5.0,72.5,13.949999809265137,19.012500762939453,1.0,1.0,5.0,5.0,525.0,536.0,7060.0,2129.0,1162.0,381.0,432.0,130.0,28.0,22.0,7.0,151.0,4.0,153.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,939.0
136276.304216251,standard,9.0,9.0,1.0,68.0,58.0,52.0,8.0,5.0,79.625,10.012499809265137,14.96250057220459,1.0,1.0,5.0,5.0,521.0,532.0,15119.0,3428.0,2869.0,728.0,705.0,186.0,53.0,109.0,12.0,15.0,164.0,145.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,958.0
