timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
135453.305050335,standard,0.0,7.0,1.0,72.0,38.0,45.0,2.0,5.0,86.5,22.94999885559082,19.012500762939453,1.0,1.0,5.0,5.0,540.0,537.0,11686.0,2797.0,1965.0,425.0,569.0,133.0,161.0,132.0,77.0,104.0,79.0,76.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
135453.626420774,standard,1.0,7.0,1.0,67.0,9.0,5.0,2.0,5.0,65.0,22.94999885559082,3.0375001430511475,1.0,1.0,5.0,5.0,540.0,516.0,7461.0,817.0,1159.0,127.0,336.0,32.0,125.0,116.0,65.0,71.0,92.0,95.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,851.0
135454.144714149,standard,2.0,7.0,1.0,7.0,63.0,25.0,2.0,5.0,74.5,-7.987499713897705,12.037500381469727,1.0,1.0,5.0,5.0,497.0,527.0,6274.0,2147.0,786.0,329.0,261.0,87.0,83.0,63.0,18.0,130.0,8.0,43.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,890.0
135454.648542515,standard,3.0,7.0,1.0,2.0,2.0,54.0,2.0,5.0,68.5,9.0,-9.0,1.0,1.0,5.0,5.0,520.0,499.0,2702.0,1925.0,421.0,307.0,118.0,87.0,165.0,161.0,5.0,107.0,65.0,35.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,910.0
135455.135926148,standard,4.0,7.0,1.0,6.0,35.0,1.0,2.0,5.0,64.5,-4.050000190734863,13.949999809265137,1.0,1.0,5.0,5.0,503.0,529.0,2608.0,767.0,210.0,58.0,102.0,23.0,125.0,123.0,39.0,38.0,168.0,127.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,923.0
135455.516840993,standard,5.0,7.0,1.0,0.0,55.0,56.0,2.0,5.0,70.0,10.012499809265137,22.94999885559082,1.0,1.0,5.0,5.0,522.0,542.0,7215.0,3510.0,1013.0,412.0,337.0,138.0,86.0,57.0,164.0,80.0,124.0,22.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,938.0
135455.881183712,standard,6.0,7.0,1.0,11.0,33.0,61.0,2.0,5.0,73.5,7.987499713897705,4.050000190734863,1.0,1.0,5.0,5.0,519.0,517.0,6374.0,3322.0,944.0,482.0,218.0,107.0,119.0,157.0,98.0,98.0,2.0,64.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,948.0
135456.221385911,standard,7.0,7.0,1.0,80.0,57.0,20.0,2.0,5.0,83.0,23.962501525878906,2.0250000953674316,1.0,1.0,5.0,5.0,541.0,514.0,16019.0,2763.0,1834.0,299.0,563.0,93.0,57.0,1.0,38.0,161.0,27.0,98.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,954.0
135456.651329444,standard,8.0,7.0,1.0,85.0,67.0,13.0,2.0,5.0,81.0,4.050000190734863,11.02500057220459,1.0,1.0,5.0,5.0,514.0,525.0,15875.0,3020.0,2282.0,383.0,647.0,116.0,159.0,72.0,47.0,3.0,34.0,83.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,950.0
135457.065010251,standard,9.0,7.0,1.0,40.0,68.0,31.0,2.0,5.0,68.5,-11.02500057220459,22.94999885559082,1.0,1.0,5.0,5.0,493.0,542.0,10141.0,2684.0,1750.0,455.0,449.0,105.0,104.0,2.0,130.0,96.0,136.0,44.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,949.0
