timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
137923.970501999,standard,0.0,13.0,1.0,74.0,5.0,8.0,1.0,5.0,69.0,94.04999542236328,6.974999904632568,1.0,1.0,5.0,5.0,640.0,523.0,9742.0,1122.0,1326.0,148.0,9.0,0.0,92.0,62.0,37.0,90.0,95.0,86.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
137924.375921668,standard,1.0,13.0,1.0,44.0,66.0,31.0,1.0,5.0,78.0,85.05000305175781,23.962501525878906,1.0,1.0,5.0,5.0,628.0,546.0,10782.0,2574.0,1905.0,488.0,126.0,27.0,77.0,4.0,47.0,88.0,48.0,35.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,845.0
137924.66674001,standard,2.0,13.0,1.0,15.0,31.0,22.0,1.0,5.0,69.0,76.05000305175781,21.037500381469727,1.0,1.0,5.0,5.0,616.0,544.0,3515.0,1135.0,305.0,88.0,54.0,9.0,123.0,60.0,47.0,125.0,125.0,40.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,910.0
137924.990275277,standard,3.0,13.0,1.0,2.0,74.0,47.0,1.0,5.0,77.0,72.0,9.0,1.0,1.0,5.0,5.0,608.0,527.0,9599.0,3423.0,1425.0,590.0,83.0,23.0,157.0,17.0,102.0,13.0,114.0,147.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,938.0
137925.387528261,standard,4.0,13.0,1.0,22.0,27.0,63.0,1.0,5.0,67.0,88.98749542236328,1.0125000476837158,1.0,1.0,5.0,5.0,632.0,515.0,6452.0,2907.0,892.0,415.0,12.0,6.0,98.0,128.0,3.0,10.0,97.0,122.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
137925.793072933,standard,5.0,13.0,1.0,83.0,34.0,72.0,1.0,5.0,69.0,94.94999694824219,21.037500381469727,1.0,1.0,5.0,5.0,641.0,542.0,18597.0,5406.0,2283.0,621.0,76.0,17.0,91.0,31.0,159.0,63.0,127.0,15.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
137926.313217097,standard,6.0,13.0,1.0,10.0,42.0,82.0,1.0,5.0,74.0,103.04999542236328,-11.02500057220459,1.0,1.0,5.0,5.0,652.0,498.0,7732.0,4174.0,1375.0,713.0,70.0,33.0,94.0,164.0,56.0,66.0,63.0,145.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,939.0
137926.882496253,standard,7.0,13.0,1.0,54.0,71.0,54.0,1.0,5.0,82.0,92.0250015258789,23.962501525878906,1.0,1.0,5.0,5.0,638.0,546.0,16827.0,4851.0,2203.0,720.0,113.0,29.0,70.0,3.0,154.0,10.0,15.0,90.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,932.0
137927.378105279,standard,8.0,13.0,1.0,49.0,80.0,45.0,1.0,5.0,87.0,97.98750305175781,-6.974999904632568,1.0,1.0,5.0,5.0,646.0,504.0,11309.0,3561.0,1757.0,494.0,69.0,14.0,113.0,164.0,100.0,164.0,25.0,166.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,935.0
137927.693403177,standard,9.0,13.0,1.0,74.0,24.0,35.0,1.0,5.0,74.0,90.0,0.0,1.0,1.0,5.0,5.0,635.0,512.0,13044.0,2358.0,2090.0,417.0,13.0,0.0,2.0,160.0,85.0,78.0,115.0,38.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
