timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
132995.519464928,standard,0.0,1.0,1.0,89.0,40.0,17.0,1.0,5.0,75.0,16.987499237060547,-1.0125000476837158,1.0,1.0,5.0,5.0,532.0,511.0,13772.0,2249.0,2027.0,294.0,659.0,93.0,69.0,151.0,3.0,39.0,169.0,65.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
132995.965893465,standard,1.0,1.0,1.0,119.0,2.0,54.0,1.0,5.0,81.0,-4.050000190734863,-11.02500057220459,1.0,1.0,5.0,5.0,503.0,496.0,18239.0,3174.0,2864.0,524.0,742.0,141.0,118.0,126.0,0.0,1.0,137.0,119.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,841.0
132996.240353016,standard,2.0,1.0,1.0,106.0,35.0,14.0,1.0,5.0,86.0,-1.0125000476837158,-4.050000190734863,1.0,1.0,5.0,5.0,505.0,504.0,17794.0,2494.0,2212.0,317.0,650.0,85.0,83.0,98.0,99.0,55.0,153.0,37.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,909.0
132996.621266261,standard,3.0,1.0,1.0,121.0,14.0,83.0,1.0,5.0,84.0,-6.974999904632568,13.049999237060547,1.0,1.0,5.0,5.0,498.0,528.0,22067.0,5057.0,3299.0,708.0,856.0,194.0,63.0,91.0,156.0,132.0,62.0,57.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,933.0
132996.99209036,standard,4.0,1.0,1.0,121.0,45.0,56.0,1.0,5.0,82.0,10.012499809265137,7.987499713897705,1.0,1.0,5.0,5.0,521.0,523.0,21227.0,4477.0,3546.0,785.0,1168.0,231.0,30.0,36.0,80.0,143.0,77.0,159.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,943.0
132997.278778064,standard,5.0,1.0,1.0,166.0,1.0,27.0,1.0,5.0,82.0,22.05000114440918,7.987499713897705,1.0,1.0,5.0,5.0,539.0,523.0,24670.0,3084.0,3754.0,482.0,1015.0,120.0,47.0,132.0,131.0,37.0,161.0,85.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,957.0
132997.759904138,standard,6.0,1.0,1.0,154.0,51.0,67.0,1.0,5.0,88.0,-13.049999237060547,7.987499713897705,1.0,1.0,5.0,5.0,490.0,522.0,29020.0,6110.0,4041.0,865.0,1272.0,259.0,107.0,135.0,41.0,58.0,58.0,65.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
132998.157140062,standard,7.0,1.0,1.0,105.0,52.0,45.0,1.0,5.0,85.0,6.974999904632568,13.049999237060547,1.0,1.0,5.0,5.0,516.0,528.0,18183.0,3512.0,2640.0,551.0,1148.0,205.0,116.0,76.0,97.0,128.0,55.0,105.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,949.0
132998.62563363,standard,8.0,1.0,1.0,135.0,80.0,55.0,1.0,5.0,91.0,-4.050000190734863,-10.012499809265137,1.0,1.0,5.0,5.0,502.0,497.0,26561.0,4954.0,4253.0,923.0,977.0,179.0,113.0,153.0,136.0,93.0,74.0,105.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,943.0
132999.283508409,standard,9.0,1.0,1.0,119.0,12.0,70.0,1.0,5.0,94.0,23.962501525878906,19.012500762939453,1.0,1.0,5.0,5.0,541.0,537.0,19234.0,3968.0,3339.0,754.0,850.0,157.0,15.0,153.0,47.0,12.0,25.0,170.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,925.0
