timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
151023.267189563,standard,0.0,45.0,1.0,2.0,14.0,45.0,1.0,5.0,69.0,22.94999885559082,-2.0250000953674316,1.0,1.0,5.0,5.0,539.0,509.0,2483.0,1672.0,97.0,237.0,125.0,67.0,34.0,116.0,148.0,55.0,6.0,10.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,708.0
151023.717868513,standard,1.0,45.0,1.0,32.0,65.0,62.0,1.0,5.0,79.0,6.974999904632568,13.949999809265137,1.0,1.0,5.0,5.0,517.0,531.0,13209.0,4429.0,500.0,613.0,661.0,223.0,125.0,154.0,82.0,119.0,110.0,145.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1022.0,842.0
151024.006608327,standard,2.0,45.0,1.0,59.0,47.0,79.0,1.0,5.0,84.0,12.037500381469727,6.974999904632568,1.0,1.0,5.0,5.0,523.0,522.0,17755.0,5113.0,610.0,851.0,741.0,197.0,42.0,43.0,31.0,17.0,104.0,144.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,909.0
151024.485816997,standard,3.0,45.0,1.0,75.0,69.0,55.0,1.0,5.0,80.0,-13.949999809265137,15.97499942779541,1.0,1.0,5.0,5.0,488.0,532.0,19953.0,5225.0,578.0,565.0,669.0,172.0,142.0,96.0,9.0,161.0,132.0,148.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,923.0
151024.923394471,standard,4.0,45.0,1.0,79.0,2.0,40.0,1.0,5.0,81.0,-5.962499618530273,-5.962499618530273,1.0,1.0,5.0,5.0,497.0,504.0,12474.0,2410.0,547.0,395.0,630.0,117.0,77.0,119.0,84.0,83.0,3.0,66.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,935.0
151025.49754227,standard,5.0,45.0,1.0,49.0,85.0,21.0,1.0,5.0,72.0,22.94999885559082,12.037500381469727,1.0,1.0,5.0,5.0,539.0,528.0,12309.0,2900.0,380.0,341.0,623.0,132.0,71.0,164.0,27.0,157.0,67.0,24.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,929.0
151025.982849896,standard,6.0,45.0,1.0,79.0,21.0,25.0,1.0,5.0,74.0,-2.0250000953674316,22.94999885559082,1.0,1.0,5.0,5.0,504.0,543.0,11770.0,1916.0,456.0,290.0,500.0,75.0,13.0,57.0,58.0,87.0,112.0,12.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,934.0
151026.506972307,standard,7.0,45.0,1.0,31.0,18.0,71.0,1.0,5.0,68.0,12.037500381469727,-4.050000190734863,1.0,1.0,5.0,5.0,523.0,506.0,6022.0,2317.0,291.0,516.0,375.0,142.0,101.0,68.0,114.0,106.0,0.0,115.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,932.0
151026.941258687,standard,8.0,45.0,1.0,69.0,10.0,77.0,1.0,5.0,86.0,-1.0125000476837158,13.049999237060547,1.0,1.0,5.0,5.0,506.0,528.0,13120.0,3572.0,580.0,570.0,610.0,186.0,20.0,53.0,141.0,97.0,97.0,77.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1022.0,940.0
151027.260642255,standard,9.0,45.0,1.0,14.0,30.0,15.0,1.0,5.0,66.0,12.037500381469727,10.012499809265137,1.0,1.0,5.0,5.0,523.0,526.0,2457.0,712.0,144.0,141.0,116.0,30.0,97.0,39.0,36.0,124.0,102.0,53.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,953.0
151027.645613629,standard,10.0,45.0,1.0,2.0,62.0,19.0,1.0,5.0,71.0,-4.949999809265137,16.987499237060547,1.0,1.0,5.0,5.0,500.0,534.0,5552.0,1723.0,165.0,193.0,197.0,60.0,141.0,11.0,6.0,150.0,109.0,60.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,954.0
151027.906996585,standard,11.0,45.0,1.0,17.0,62.0,57.0,1.0,5.0,74.0,-6.974999904632568,10.012499809265137,1.0,1.0,5.0,5.0,497.0,526.0,8075.0,3156.0,277.0,501.0,468.0,165.0,47.0,106.0,134.0,134.0,9.0,7.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,965.0
151028.325654058,standard,12.0,45.0,1.0,35.0,44.0,85.0,1.0,5.0,75.0,20.024999618530273,11.02500057220459,1.0,1.0,5.0,5.0,535.0,526.0,13236.0,4451.0,317.0,675.0,477.0,191.0,70.0,99.0,6.0,144.0,34.0,89.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,956.0
151028.677998208,standard,13.0,45.0,1.0,66.0,4.0,50.0,1.0,5.0,75.0,0.0,11.02500057220459,1.0,1.0,5.0,5.0,507.0,527.0,12288.0,2982.0,313.0,413.0,426.0,105.0,62.0,32.0,32.0,61.0,41.0,156.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1023.0,958.0
