timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
154678.14241562,standard,0.0,54.0,1.0,66.0,17.0,24.0,1.0,5.0,65.0,-7.987499713897705,22.05000114440918,1.0,1.0,5.0,5.0,496.0,541.0,10038.0,1496.0,1498.0,60.0,404.0,54.0,17.0,70.0,100.0,97.0,104.0,158.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,707.0
154678.408552779,standard,1.0,54.0,1.0,19.0,49.0,24.0,1.0,5.0,71.0,0.0,22.94999885559082,1.0,1.0,5.0,5.0,507.0,543.0,4925.0,1657.0,894.0,72.0,171.0,49.0,103.0,96.0,28.0,169.0,69.0,46.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,856.0
154678.986135686,standard,2.0,54.0,1.0,79.0,85.0,31.0,1.0,5.0,80.0,21.037500381469727,-3.0375001430511475,1.0,1.0,5.0,5.0,537.0,508.0,21408.0,4123.0,2514.0,147.0,711.0,146.0,1.0,4.0,161.0,154.0,32.0,30.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,887.0
154679.457119276,standard,3.0,54.0,1.0,50.0,65.0,77.0,1.0,5.0,81.0,6.974999904632568,16.987499237060547,1.0,1.0,5.0,5.0,518.0,534.0,14629.0,4550.0,2198.0,227.0,786.0,255.0,38.0,168.0,115.0,47.0,78.0,41.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,914.0
154679.911728125,standard,4.0,54.0,1.0,39.0,74.0,2.0,1.0,5.0,74.0,-6.974999904632568,-1.0125000476837158,1.0,1.0,5.0,5.0,498.0,510.0,11038.0,2122.0,1816.0,88.0,468.0,89.0,127.0,95.0,166.0,5.0,150.0,37.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,930.0
154680.202541599,standard,5.0,54.0,1.0,84.0,67.0,44.0,1.0,5.0,90.0,0.0,-5.962499618530273,1.0,1.0,5.0,5.0,507.0,503.0,17686.0,3933.0,2773.0,134.0,906.0,192.0,109.0,6.0,35.0,94.0,67.0,80.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,951.0
154680.630510812,standard,6.0,54.0,1.0,61.0,3.0,24.0,1.0,5.0,67.0,11.02500057220459,12.037500381469727,1.0,1.0,5.0,5.0,523.0,526.0,9517.0,1473.0,1303.0,47.0,356.0,54.0,125.0,128.0,62.0,5.0,52.0,158.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,949.0
154681.099602153,standard,7.0,54.0,1.0,14.0,37.0,34.0,1.0,5.0,72.0,-2.0250000953674316,-9.0,1.0,1.0,5.0,5.0,505.0,499.0,4874.0,1773.0,618.0,67.0,217.0,78.0,83.0,32.0,109.0,83.0,28.0,11.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,945.0
154681.306381241,standard,8.0,54.0,1.0,24.0,80.0,51.0,1.0,5.0,75.0,-4.050000190734863,-9.0,1.0,1.0,5.0,5.0,501.0,499.0,10922.0,3689.0,1411.0,152.0,448.0,149.0,16.0,41.0,93.0,14.0,45.0,153.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,964.0
154681.789678713,standard,9.0,54.0,1.0,73.0,40.0,74.0,1.0,5.0,80.0,16.987499237060547,5.962499618530273,1.0,1.0,5.0,5.0,530.0,518.0,14736.0,4098.0,2490.0,159.0,683.0,178.0,145.0,156.0,39.0,134.0,132.0,149.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,950.0
154682.201413483,standard,10.0,54.0,1.0,27.0,78.0,22.0,1.0,5.0,75.0,4.949999809265137,21.037500381469727,1.0,1.0,5.0,5.0,515.0,540.0,8072.0,2274.0,1345.0,88.0,381.0,91.0,67.0,124.0,86.0,51.0,101.0,37.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,951.0
154682.541299281,standard,11.0,54.0,1.0,18.0,83.0,17.0,1.0,5.0,73.0,-9.0,16.987499237060547,1.0,1.0,5.0,5.0,495.0,536.0,8425.0,2387.0,1248.0,98.0,360.0,104.0,5.0,74.0,141.0,140.0,120.0,129.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,957.0
154682.977514167,standard,12.0,54.0,1.0,67.0,29.0,11.0,1.0,5.0,75.0,1.0125000476837158,-3.0375001430511475,1.0,1.0,5.0,5.0,508.0,507.0,11449.0,1641.0,2078.0,83.0,499.0,66.0,119.0,98.0,18.0,64.0,137.0,69.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,951.0
154683.346097058,standard,13.0,54.0,1.0,13.0,42.0,6.0,1.0,5.0,64.0,-11.02500057220459,6.974999904632568,1.0,1.0,5.0,5.0,493.0,519.0,3920.0,1020.0,329.0,28.0,170.0,37.0,24.0,95.0,168.0,149.0,10.0,121.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,954.0
154683.659451675,standard,14.0,54.0,1.0,33.0,79.0,64.0,1.0,5.0,87.0,-4.949999809265137,15.97499942779541,1.0,1.0,5.0,5.0,500.0,532.0,14652.0,5155.0,2026.0,192.0,469.0,183.0,4.0,103.0,134.0,109.0,80.0,76.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,962.0
154683.933907342,standard,15.0,54.0,1.0,22.0,11.0,83.0,1.0,5.0,75.0,-10.012499809265137,11.02500057220459,1.0,1.0,5.0,5.0,494.0,527.0,5656.0,3178.0,823.0,154.0,288.0,130.0,24.0,48.0,165.0,101.0,65.0,65.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1022.0,967.0
154684.224637658,standard,16.0,54.0,1.0,11.0,73.0,41.0,1.0,5.0,69.0,-12.037500381469727,21.037500381469727,1.0,1.0,5.0,5.0,490.0,539.0,8401.0,3050.0,1084.0,103.0,266.0,101.0,8.0,166.0,0.0,80.0,107.0,145.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1023.0,967.0
