timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
142443.855190475,standard,0.0,24.0,1.0,38.0,26.0,38.0,1.0,5.0,66.0,7.987499713897705,-6.974999904632568,1.0,1.0,5.0,2.559999942779541,518.0,970.0,5521.0,1674.0,991.0,246.0,236.0,66.0,37.0,93.0,33.0,109.0,39.0,47.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142444.194282974,standard,1.0,24.0,1.0,54.0,16.0,14.0,1.0,5.0,72.0,-3.0375001430511475,0.0,1.0,1.0,5.0,2.559999942779541,504.0,986.0,6850.0,888.0,1023.0,149.0,293.0,42.0,87.0,10.0,74.0,8.0,93.0,166.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142444.662061067,standard,2.0,24.0,1.0,9.0,79.0,11.0,1.0,5.0,74.0,13.049999237060547,18.0,1.0,1.0,5.0,2.559999942779541,525.0,1023.0,5813.0,1812.0,1009.0,270.0,359.0,94.0,121.0,83.0,106.0,161.0,139.0,112.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142445.122752786,standard,3.0,24.0,1.0,27.0,4.0,22.0,1.0,5.0,64.0,13.949999809265137,-13.949999809265137,1.0,1.0,5.0,2.559999942779541,526.0,950.0,3039.0,722.0,390.0,99.0,125.0,23.0,75.0,38.0,112.0,162.0,71.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142445.493525771,standard,4.0,24.0,1.0,62.0,4.0,14.0,1.0,5.0,72.0,5.962499618530273,0.0,1.0,1.0,5.0,2.559999942779541,516.0,984.0,9442.0,1266.0,996.0,132.0,304.0,30.0,24.0,131.0,54.0,16.0,117.0,131.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142445.825303348,standard,5.0,24.0,1.0,33.0,79.0,77.0,1.0,5.0,82.0,20.024999618530273,-3.0375001430511475,1.0,1.0,5.0,2.559999942779541,535.0,981.0,12696.0,4750.0,1797.0,705.0,694.0,271.0,59.0,126.0,169.0,3.0,50.0,127.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142446.238940345,standard,6.0,24.0,1.0,14.0,39.0,54.0,1.0,5.0,74.0,-4.050000190734863,0.0,1.0,1.0,5.0,2.559999942779541,501.0,986.0,6960.0,3153.0,926.0,386.0,346.0,158.0,164.0,105.0,162.0,143.0,106.0,125.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142446.767334894,standard,7.0,24.0,1.0,50.0,84.0,81.0,1.0,5.0,80.0,15.97499942779541,21.037500381469727,1.0,1.0,5.0,2.559999942779541,530.0,1023.0,15204.0,5871.0,2994.0,1003.0,765.0,214.0,135.0,15.0,65.0,34.0,112.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142447.172790062,standard,8.0,24.0,1.0,11.0,21.0,45.0,1.0,5.0,68.0,2.0250000953674316,9.0,1.0,1.0,5.0,2.559999942779541,511.0,1014.0,3926.0,1870.0,542.0,258.0,173.0,91.0,47.0,82.0,127.0,37.0,40.0,50.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142447.48606207,standard,9.0,24.0,1.0,58.0,60.0,66.0,1.0,5.0,75.0,1.0125000476837158,22.94999885559082,1.0,1.0,5.0,2.559999942779541,509.0,1023.0,17331.0,5063.0,2109.0,747.0,598.0,175.0,6.0,155.0,78.0,137.0,162.0,24.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142447.756419997,standard,10.0,24.0,1.0,57.0,5.0,0.0,1.0,5.0,66.0,3.0375001430511475,14.96250057220459,1.0,1.0,5.0,2.559999942779541,511.0,1023.0,8227.0,840.0,1015.0,112.0,380.0,38.0,5.0,32.0,48.0,62.0,20.0,156.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142448.069807076,standard,11.0,24.0,1.0,27.0,18.0,17.0,1.0,5.0,68.0,-10.012499809265137,13.049999237060547,1.0,1.0,5.0,2.559999942779541,494.0,1023.0,3725.0,777.0,427.0,93.0,141.0,23.0,24.0,46.0,97.0,121.0,117.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
