timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
142848.014152143,standard,0.0,25.0,1.0,64.0,4.0,49.0,1.0,5.0,78.0,-11.02500057220459,14.96250057220459,1.0,1.0,5.0,1.100000023841858,491.0,1023.0,10637.0,2489.0,1598.0,348.0,408.0,97.0,108.0,94.0,130.0,1.0,142.0,157.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142848.46681176,standard,1.0,25.0,1.0,80.0,65.0,6.0,1.0,5.0,75.0,20.024999618530273,15.97499942779541,1.0,1.0,5.0,1.100000023841858,533.0,1023.0,15852.0,2674.0,2224.0,344.0,744.0,125.0,63.0,158.0,121.0,95.0,4.0,129.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142848.929664434,standard,2.0,25.0,1.0,5.0,15.0,70.0,1.0,5.0,70.0,9.0,-5.962499618530273,1.0,1.0,5.0,1.100000023841858,520.0,1023.0,5143.0,2842.0,736.0,477.0,205.0,128.0,130.0,89.0,112.0,168.0,102.0,144.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142849.283886291,standard,3.0,25.0,1.0,25.0,29.0,42.0,1.0,5.0,65.0,21.037500381469727,-13.949999809265137,1.0,1.0,5.0,1.100000023841858,536.0,1023.0,6492.0,2054.0,617.0,222.0,196.0,60.0,104.0,73.0,141.0,55.0,104.0,108.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142849.728303095,standard,4.0,25.0,1.0,40.0,77.0,21.0,1.0,5.0,75.0,9.0,4.949999809265137,1.0,1.0,5.0,1.100000023841858,520.0,1023.0,12894.0,2997.0,1907.0,439.0,625.0,127.0,83.0,15.0,128.0,39.0,16.0,60.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142849.950906074,standard,5.0,25.0,1.0,12.0,85.0,5.0,1.0,5.0,74.0,12.037500381469727,4.050000190734863,1.0,1.0,5.0,1.100000023841858,523.0,1023.0,8665.0,2258.0,1202.0,351.0,448.0,100.0,120.0,103.0,128.0,80.0,73.0,61.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142850.271068542,standard,6.0,25.0,1.0,23.0,1.0,32.0,1.0,5.0,65.0,-3.0375001430511475,3.0375001430511475,1.0,1.0,5.0,1.100000023841858,503.0,1023.0,3030.0,1031.0,483.0,163.0,118.0,33.0,134.0,27.0,68.0,110.0,120.0,66.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142850.5495063,standard,7.0,25.0,1.0,69.0,2.0,46.0,1.0,5.0,70.0,-1.0125000476837158,12.037500381469727,1.0,1.0,5.0,1.100000023841858,505.0,1023.0,13162.0,2862.0,1596.0,364.0,518.0,102.0,10.0,24.0,78.0,102.0,123.0,89.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142850.992690954,standard,8.0,25.0,1.0,19.0,48.0,4.0,1.0,5.0,66.0,20.024999618530273,22.05000114440918,1.0,1.0,5.0,1.100000023841858,534.0,1023.0,5447.0,1365.0,826.0,165.0,281.0,56.0,71.0,85.0,149.0,27.0,149.0,17.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
142851.573523241,standard,9.0,25.0,1.0,68.0,41.0,43.0,1.0,5.0,70.0,-14.96250057220459,9.0,1.0,1.0,5.0,1.100000023841858,486.0,1023.0,12688.0,3333.0,2121.0,480.0,585.0,149.0,72.0,78.0,104.0,57.0,51.0,150.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,1023.0
