timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
136685.071140684,standard,0.0,10.0,1.0,6.0,61.0,65.0,1.0,2.559999942779541,144.0,-5.962499618530273,18.0,1.0,1.0,5.0,5.0,498.0,535.0,8935.0,3659.0,1199.0,516.0,382.0,170.0,42.0,66.0,29.0,13.0,15.0,77.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,707.0
136685.613745323,standard,1.0,10.0,1.0,15.0,69.0,4.0,1.0,2.559999942779541,138.0,7.987499713897705,-11.02500057220459,1.0,1.0,5.0,5.0,517.0,496.0,5392.0,1569.0,1021.0,261.0,232.0,60.0,39.0,86.0,4.0,129.0,159.0,20.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,834.0
136686.181092058,standard,2.0,10.0,1.0,73.0,11.0,81.0,1.0,2.559999942779541,180.0,-6.974999904632568,20.024999618530273,1.0,1.0,5.0,5.0,497.0,538.0,15296.0,4379.0,2322.0,714.0,371.0,127.0,107.0,166.0,50.0,62.0,103.0,43.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,879.0
136686.64392588,standard,3.0,10.0,1.0,28.0,71.0,52.0,1.0,2.559999942779541,149.0,12.037500381469727,5.962499618530273,1.0,1.0,5.0,5.0,523.0,519.0,9887.0,3919.0,1841.0,550.0,608.0,179.0,162.0,35.0,109.0,153.0,141.0,104.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,909.0
136686.910159986,standard,4.0,10.0,1.0,65.0,25.0,61.0,1.0,2.559999942779541,136.0,3.0375001430511475,5.962499618530273,1.0,1.0,5.0,5.0,511.0,519.0,12567.0,3780.0,1947.0,577.0,658.0,151.0,13.0,131.0,57.0,98.0,112.0,130.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,943.0
136687.258241142,standard,5.0,10.0,1.0,57.0,35.0,8.0,1.0,2.559999942779541,138.0,0.0,-10.012499809265137,1.0,1.0,5.0,5.0,506.0,496.0,10100.0,1486.0,1641.0,257.0,390.0,55.0,37.0,116.0,73.0,112.0,168.0,70.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,951.0
136687.704719137,standard,6.0,10.0,1.0,25.0,45.0,43.0,1.0,2.559999942779541,141.0,2.0250000953674316,19.012500762939453,1.0,1.0,5.0,5.0,509.0,536.0,6978.0,2464.0,863.0,302.0,320.0,115.0,5.0,103.0,79.0,170.0,105.0,135.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
136688.23309335,standard,7.0,10.0,1.0,29.0,72.0,42.0,1.0,2.559999942779541,171.0,12.037500381469727,-12.037500381469727,1.0,1.0,5.0,5.0,523.0,494.0,9419.0,3405.0,1719.0,520.0,354.0,99.0,145.0,43.0,68.0,24.0,1.0,100.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,937.0
136688.687696654,standard,8.0,10.0,1.0,9.0,13.0,3.0,1.0,2.559999942779541,125.0,1.0125000476837158,9.0,1.0,1.0,5.0,5.0,508.0,522.0,718.0,170.0,112.0,20.0,36.0,1.0,40.0,13.0,151.0,9.0,157.0,33.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,941.0
136689.134167956,standard,9.0,10.0,1.0,75.0,81.0,79.0,1.0,2.559999942779541,161.0,21.037500381469727,20.024999618530273,1.0,1.0,5.0,5.0,536.0,538.0,22327.0,6719.0,3094.0,770.0,1096.0,324.0,9.0,11.0,53.0,108.0,103.0,154.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,943.0
