timestamp,config,counter,flag,intervention,red,green,blue,osr_c,v_c,current,pol_1,pol_2,osr_angle_1,osr_angle_2,v_angle_1,v_angle_2,angle_1,angle_2,ir_1,vis_1,ir_2,vis_2,ir_3,vis_3,l_11,l_12,l_21,l_22,l_31,l_32,diode_ir_1,diode_vis_1,diode_ir_2,diode_vis_2,diode_ir_3,diode_vis_3,t_ir_1,t_vis_1,t_ir_2,t_vis_2,t_ir_3,t_vis_3,camera,v_board,v_reg
137097.601953113,standard,0.0,11.0,1.0,13.0,43.0,34.0,1.0,1.100000023841858,334.0,13.049999237060547,21.037500381469727,1.0,1.0,5.0,5.0,524.0,539.0,4858.0,1903.0,789.0,258.0,206.0,87.0,39.0,34.0,160.0,133.0,61.0,49.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,708.0
137098.122020217,standard,1.0,11.0,1.0,44.0,44.0,62.0,1.0,1.100000023841858,342.0,5.962499618530273,-12.037500381469727,1.0,1.0,5.0,5.0,516.0,496.0,10264.0,3614.0,1585.0,557.0,419.0,137.0,146.0,112.0,23.0,137.0,49.0,80.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,837.0
137098.539988497,standard,2.0,11.0,1.0,42.0,71.0,78.0,1.0,1.100000023841858,346.0,5.962499618530273,15.97499942779541,1.0,1.0,5.0,5.0,516.0,534.0,14397.0,4840.0,2157.0,829.0,617.0,222.0,98.0,17.0,38.0,23.0,47.0,20.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,894.0
137098.933203934,standard,3.0,11.0,1.0,58.0,78.0,77.0,1.0,1.100000023841858,371.0,-6.974999904632568,4.050000190734863,1.0,1.0,5.0,5.0,497.0,519.0,17613.0,5938.0,2304.0,755.0,983.0,238.0,165.0,20.0,33.0,94.0,0.0,19.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,924.0
137099.350938367,standard,4.0,11.0,1.0,64.0,7.0,25.0,1.0,1.100000023841858,326.0,6.974999904632568,18.0,1.0,1.0,5.0,5.0,515.0,537.0,10116.0,1624.0,1358.0,223.0,409.0,60.0,144.0,23.0,128.0,79.0,73.0,14.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,936.0
137099.63963593,standard,5.0,11.0,1.0,32.0,19.0,61.0,1.0,1.100000023841858,346.0,0.0,13.049999237060547,1.0,1.0,5.0,5.0,507.0,531.0,6948.0,2705.0,1085.0,436.0,353.0,131.0,78.0,93.0,147.0,42.0,145.0,156.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,954.0
137099.944830813,standard,6.0,11.0,1.0,78.0,73.0,71.0,1.0,1.100000023841858,386.0,-3.0375001430511475,23.962501525878906,1.0,1.0,5.0,5.0,503.0,545.0,14567.0,4335.0,3597.0,906.0,540.0,122.0,29.0,95.0,130.0,169.0,132.0,62.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,961.0
137100.381108527,standard,7.0,11.0,1.0,4.0,9.0,68.0,1.0,1.100000023841858,331.0,-9.0,0.0,1.0,1.0,5.0,5.0,494.0,513.0,3549.0,2423.0,628.0,434.0,191.0,112.0,144.0,119.0,22.0,2.0,76.0,61.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
137100.647240757,standard,8.0,11.0,1.0,21.0,84.0,60.0,1.0,1.100000023841858,382.0,-4.949999809265137,4.949999809265137,1.0,1.0,5.0,5.0,499.0,519.0,12806.0,4633.0,1557.0,634.0,590.0,211.0,50.0,149.0,69.0,51.0,117.0,139.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,963.0
137101.099760474,standard,9.0,11.0,1.0,52.0,60.0,56.0,1.0,1.100000023841858,351.0,18.0,13.949999809265137,1.0,1.0,5.0,5.0,531.0,531.0,14861.0,4088.0,1979.0,594.0,528.0,153.0,1.0,24.0,166.0,134.0,60.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
137101.502549881,standard,10.0,11.0,1.0,22.0,83.0,76.0,1.0,1.100000023841858,383.0,1.0125000476837158,22.94999885559082,1.0,1.0,5.0,5.0,509.0,544.0,11953.0,4832.0,1957.0,839.0,573.0,202.0,118.0,7.0,135.0,31.0,143.0,146.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
137102.033818562,standard,11.0,11.0,1.0,3.0,4.0,24.0,1.0,1.100000023841858,298.0,18.0,-2.0250000953674316,1.0,1.0,5.0,5.0,531.0,510.0,886.0,592.0,161.0,92.0,32.0,16.0,82.0,48.0,48.0,41.0,51.0,109.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,940.0
137102.371566288,standard,12.0,11.0,1.0,28.0,71.0,15.0,1.0,1.100000023841858,322.0,0.0,-2.0250000953674316,1.0,1.0,5.0,5.0,506.0,511.0,9513.0,2127.0,948.0,295.0,444.0,102.0,4.0,81.0,159.0,53.0,5.0,90.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
137102.766791594,standard,13.0,11.0,1.0,81.0,52.0,45.0,1.0,1.100000023841858,400.0,11.02500057220459,12.037500381469727,1.0,1.0,5.0,5.0,522.0,528.0,17160.0,3603.0,2837.0,629.0,812.0,160.0,108.0,152.0,97.0,125.0,30.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,953.0
137103.219438894,standard,14.0,11.0,1.0,25.0,45.0,81.0,1.0,1.100000023841858,368.0,-6.974999904632568,-2.0250000953674316,1.0,1.0,5.0,5.0,497.0,510.0,9469.0,4080.0,1590.0,649.0,501.0,224.0,26.0,138.0,132.0,56.0,13.0,146.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,948.0
137103.589958146,standard,15.0,11.0,1.0,67.0,61.0,9.0,1.0,1.100000023841858,366.0,-1.0125000476837158,13.949999809265137,1.0,1.0,5.0,5.0,503.0,531.0,13485.0,2557.0,2173.0,364.0,593.0,92.0,61.0,99.0,123.0,81.0,141.0,164.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,953.0
137104.106084024,standard,16.0,11.0,1.0,25.0,75.0,0.0,1.0,1.100000023841858,332.0,13.049999237060547,-12.037500381469727,1.0,1.0,5.0,5.0,525.0,496.0,8941.0,2212.0,1287.0,246.0,340.0,64.0,154.0,71.0,77.0,37.0,53.0,65.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,942.0
137104.59148276,standard,17.0,11.0,1.0,57.0,37.0,80.0,1.0,1.100000023841858,351.0,20.024999618530273,16.987499237060547,1.0,1.0,5.0,5.0,535.0,534.0,13285.0,4619.0,2174.0,842.0,693.0,223.0,63.0,6.0,143.0,11.0,44.0,7.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,941.0
137104.994943498,standard,18.0,11.0,1.0,30.0,40.0,37.0,1.0,1.100000023841858,340.0,-2.0250000953674316,21.037500381469727,1.0,1.0,5.0,5.0,504.0,541.0,6430.0,1667.0,844.0,281.0,313.0,91.0,123.0,101.0,127.0,52.0,104.0,119.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
137105.552073746,standard,19.0,11.0,1.0,6.0,51.0,15.0,1.0,1.100000023841858,307.0,19.012500762939453,-3.0375001430511475,1.0,1.0,5.0,5.0,533.0,509.0,4654.0,1379.0,616.0,184.0,179.0,45.0,42.0,69.0,150.0,14.0,113.0,21.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,936.0
137105.928959858,standard,20.0,11.0,1.0,12.0,49.0,50.0,1.0,1.100000023841858,349.0,21.037500381469727,18.0,1.0,1.0,5.0,5.0,537.0,537.0,7560.0,3272.0,1046.0,432.0,362.0,133.0,0.0,28.0,116.0,131.0,44.0,58.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
137106.545174395,standard,21.0,11.0,1.0,72.0,16.0,39.0,1.0,1.100000023841858,335.0,-10.012499809265137,-3.0375001430511475,1.0,1.0,5.0,5.0,493.0,509.0,11830.0,2362.0,1601.0,354.0,558.0,108.0,123.0,121.0,3.0,100.0,9.0,95.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,931.0
137107.038766217,standard,22.0,11.0,1.0,31.0,3.0,33.0,1.0,1.100000023841858,312.0,4.949999809265137,19.012500762939453,1.0,1.0,5.0,5.0,513.0,538.0,5181.0,1277.0,651.0,173.0,170.0,45.0,18.0,67.0,76.0,154.0,162.0,36.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,935.0
137107.366402974,standard,23.0,11.0,1.0,22.0,56.0,13.0,1.0,1.100000023841858,316.0,-7.987499713897705,22.94999885559082,1.0,1.0,5.0,5.0,496.0,544.0,5083.0,1187.0,738.0,194.0,183.0,45.0,105.0,115.0,145.0,42.0,108.0,158.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,951.0
137107.786206189,standard,24.0,11.0,1.0,45.0,42.0,71.0,1.0,1.100000023841858,304.0,3.0375001430511475,5.962499618530273,1.0,1.0,5.0,5.0,510.0,522.0,12030.0,4086.0,2030.0,712.0,674.0,215.0,154.0,154.0,151.0,64.0,39.0,112.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,950.0
137108.134299067,standard,25.0,11.0,1.0,60.0,75.0,61.0,1.0,1.100000023841858,332.0,15.97499942779541,0.0,1.0,1.0,5.0,5.0,528.0,513.0,16986.0,4857.0,3005.0,824.0,616.0,183.0,34.0,103.0,121.0,80.0,155.0,143.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,955.0
137108.564366002,standard,26.0,11.0,1.0,43.0,45.0,58.0,1.0,1.100000023841858,295.0,-13.049999237060547,0.0,1.0,1.0,5.0,5.0,489.0,513.0,11059.0,3635.0,1572.0,591.0,576.0,153.0,115.0,159.0,22.0,16.0,160.0,113.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,951.0
137108.845000447,standard,27.0,11.0,1.0,83.0,13.0,6.0,1.0,1.100000023841858,340.0,-7.987499713897705,-5.962499618530273,1.0,1.0,5.0,5.0,495.0,505.0,11993.0,1340.0,1569.0,184.0,452.0,52.0,120.0,38.0,38.0,135.0,85.0,150.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,962.0
137109.33034731,standard,28.0,11.0,1.0,59.0,29.0,5.0,1.0,1.100000023841858,325.0,-1.0125000476837158,22.94999885559082,1.0,1.0,5.0,5.0,504.0,543.0,8359.0,1207.0,1367.0,175.0,312.0,34.0,147.0,140.0,83.0,112.0,139.0,59.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,949.0
137109.922204143,standard,29.0,11.0,1.0,76.0,24.0,45.0,1.0,1.100000023841858,340.0,19.012500762939453,-5.962499618530273,1.0,1.0,5.0,5.0,532.0,505.0,12895.0,2836.0,2250.0,502.0,634.0,126.0,60.0,162.0,132.0,128.0,123.0,136.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,934.0
137110.200638753,standard,30.0,11.0,1.0,20.0,65.0,60.0,1.0,1.100000023841858,326.0,14.96250057220459,-13.049999237060547,1.0,1.0,5.0,5.0,528.0,495.0,9141.0,3676.0,1206.0,524.0,379.0,152.0,3.0,91.0,9.0,91.0,47.0,32.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,955.0
137110.496826899,standard,31.0,11.0,1.0,39.0,21.0,52.0,1.0,1.100000023841858,319.0,9.0,-5.962499618530273,1.0,1.0,5.0,5.0,519.0,503.0,8055.0,2457.0,1382.0,461.0,252.0,60.0,81.0,71.0,145.0,169.0,104.0,14.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,962.0
137110.96231604,standard,32.0,11.0,1.0,32.0,20.0,66.0,1.0,1.100000023841858,327.0,-12.037500381469727,6.974999904632568,1.0,1.0,5.0,5.0,490.0,522.0,8975.0,3123.0,1035.0,444.0,272.0,101.0,93.0,60.0,161.0,55.0,158.0,24.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,951.0
137111.564779471,standard,33.0,11.0,1.0,54.0,32.0,24.0,1.0,1.100000023841858,314.0,14.96250057220459,18.0,1.0,1.0,5.0,5.0,527.0,537.0,9329.0,1714.0,1628.0,274.0,397.0,80.0,164.0,70.0,161.0,92.0,67.0,14.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,937.0
137112.007011719,standard,34.0,11.0,1.0,57.0,30.0,50.0,1.0,1.100000023841858,325.0,-13.049999237060547,14.96250057220459,1.0,1.0,5.0,5.0,487.0,534.0,9687.0,2940.0,1649.0,385.0,399.0,104.0,149.0,50.0,86.0,61.0,23.0,135.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,942.0
137112.441132464,standard,35.0,11.0,1.0,20.0,77.0,48.0,1.0,1.100000023841858,342.0,-4.050000190734863,-5.962499618530273,1.0,1.0,5.0,5.0,500.0,504.0,10293.0,3556.0,1218.0,464.0,445.0,162.0,51.0,47.0,170.0,165.0,9.0,140.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
137112.752418565,standard,36.0,11.0,1.0,27.0,22.0,76.0,1.0,1.100000023841858,342.0,11.02500057220459,-5.962499618530273,1.0,1.0,5.0,5.0,522.0,505.0,5530.0,2694.0,1218.0,533.0,335.0,157.0,49.0,68.0,113.0,129.0,113.0,38.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,957.0
137113.204937824,standard,37.0,11.0,1.0,44.0,57.0,43.0,1.0,1.100000023841858,360.0,-4.050000190734863,11.02500057220459,1.0,1.0,5.0,5.0,501.0,527.0,10838.0,3101.0,1631.0,457.0,476.0,133.0,91.0,41.0,78.0,166.0,98.0,129.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,950.0
137113.674004851,standard,38.0,11.0,1.0,39.0,22.0,22.0,1.0,1.100000023841858,325.0,-13.049999237060547,-13.949999809265137,1.0,1.0,5.0,5.0,489.0,493.0,6134.0,1255.0,1057.0,202.0,294.0,59.0,170.0,132.0,43.0,14.0,97.0,68.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,945.0
137114.177415921,standard,39.0,11.0,1.0,22.0,16.0,71.0,1.0,1.100000023841858,358.0,22.05000114440918,-11.02500057220459,1.0,1.0,5.0,5.0,537.0,496.0,6027.0,3320.0,1123.0,503.0,185.0,99.0,66.0,19.0,33.0,121.0,165.0,109.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,941.0
137114.701156889,standard,40.0,11.0,1.0,55.0,21.0,57.0,1.0,1.100000023841858,357.0,4.050000190734863,12.037500381469727,1.0,1.0,5.0,5.0,513.0,528.0,9954.0,2468.0,1568.0,486.0,491.0,128.0,22.0,86.0,67.0,154.0,33.0,46.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,937.0
137115.029632088,standard,41.0,11.0,1.0,52.0,11.0,84.0,1.0,1.100000023841858,358.0,-11.02500057220459,10.012499809265137,1.0,1.0,5.0,5.0,491.0,527.0,10303.0,3832.0,1961.0,783.0,489.0,186.0,60.0,17.0,3.0,115.0,75.0,106.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,951.0
137115.424931432,standard,42.0,11.0,1.0,22.0,22.0,20.0,1.0,1.100000023841858,286.0,12.037500381469727,7.987499713897705,1.0,1.0,5.0,5.0,523.0,524.0,3055.0,710.0,461.0,108.0,148.0,41.0,60.0,65.0,115.0,75.0,142.0,108.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,953.0
137115.830374959,standard,43.0,11.0,1.0,29.0,5.0,66.0,1.0,1.100000023841858,308.0,-7.987499713897705,13.949999809265137,1.0,1.0,5.0,5.0,496.0,531.0,6304.0,2727.0,760.0,361.0,227.0,98.0,42.0,99.0,3.0,80.0,115.0,78.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,952.0
137116.145739676,standard,44.0,11.0,1.0,46.0,6.0,0.0,1.0,1.100000023841858,297.0,4.050000190734863,16.987499237060547,1.0,1.0,5.0,5.0,512.0,535.0,4596.0,578.0,999.0,98.0,256.0,23.0,30.0,70.0,59.0,102.0,105.0,26.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,959.0
137116.516561652,standard,45.0,11.0,1.0,9.0,15.0,27.0,1.0,1.100000023841858,285.0,-13.949999809265137,21.037500381469727,1.0,1.0,5.0,5.0,487.0,541.0,1691.0,878.0,278.0,112.0,65.0,31.0,128.0,65.0,155.0,140.0,70.0,154.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,958.0
137117.010009413,standard,46.0,11.0,1.0,6.0,74.0,29.0,1.0,1.100000023841858,332.0,5.962499618530273,4.050000190734863,1.0,1.0,5.0,5.0,514.0,519.0,9193.0,2753.0,1197.0,419.0,345.0,104.0,138.0,52.0,131.0,110.0,4.0,9.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,946.0
137117.356094999,standard,47.0,11.0,1.0,50.0,60.0,13.0,1.0,1.100000023841858,312.0,0.0,-9.0,1.0,1.0,5.0,5.0,507.0,501.0,12772.0,2301.0,1825.0,373.0,512.0,99.0,157.0,45.0,129.0,9.0,12.0,39.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,954.0
137117.798375495,standard,48.0,11.0,1.0,15.0,0.0,31.0,1.0,1.100000023841858,312.0,16.987499237060547,4.949999809265137,1.0,1.0,5.0,5.0,530.0,518.0,2100.0,912.0,380.0,172.0,107.0,43.0,144.0,124.0,108.0,14.0,11.0,54.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,950.0
137118.259146197,standard,49.0,11.0,1.0,59.0,38.0,83.0,1.0,1.100000023841858,348.0,-3.0375001430511475,18.0,1.0,1.0,5.0,5.0,503.0,537.0,12372.0,3709.0,2382.0,793.0,616.0,221.0,81.0,28.0,97.0,82.0,148.0,119.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
137118.697412182,standard,50.0,11.0,1.0,31.0,67.0,29.0,1.0,1.100000023841858,306.0,19.012500762939453,10.012499809265137,1.0,1.0,5.0,5.0,532.0,526.0,10167.0,2729.0,1395.0,422.0,396.0,103.0,47.0,137.0,151.0,32.0,20.0,23.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1023.0,947.0
